RESIDENT POPULATION OF STATES (by single year to 85+ and sex):
July 1, 1982 estimates
Source: Population Distribution Branch and Population Estimates Branch
         U.S. Bureau of the Census
Release date:  June 4, 1996 

The July 1982 intercensal estimates in this file are consistent
with and described in Current Population Reports, Series P25-1106.

--------------------------------------------------------------------------------
File Layout

Field
Location         Length        Field

1-2              2             FIPS Code state
3-6              4             Blank
7-8              2             State postal abbreviation
9-10             3             Blank
11-12            2             Age  (85 = 85+)
13-24            12            4/1/80 census both sexes population
25-36            12            4/1/80 census male population
37-48            12            4/1/80 census female population
------------------------------------------------------------------------


FIPS             7/1/82      7/1/82      7/1/82
Code    Age  Both sexes        Male      Female

01    AL  0       60286       30713       29573
01    AL  1       59467       30220       29247
01    AL  2       59984       30409       29575
01    AL  3       59441       30248       29193
01    AL  4       58983       29962       29021
01    AL  5       58839       30020       28819
01    AL  6       56557       28835       27722
01    AL  7       59194       30305       28889
01    AL  8       57034       29229       27805
01    AL  9       61213       31423       29790
01    AL 10       65104       33250       31854
01    AL 11       68078       34942       33136
01    AL 12       65710       33498       32212
01    AL 13       64043       32759       31284
01    AL 14       62885       32217       30668
01    AL 15       64749       32936       31813
01    AL 16       67174       34357       32817
01    AL 17       72026       36667       35359
01    AL 18       72868       36791       36077
01    AL 19       75683       37358       38325
01    AL 20       76287       37627       38660
01    AL 21       75505       36666       38839
01    AL 22       72748       35661       37087
01    AL 23       71901       35459       36442
01    AL 24       71640       35550       36090
01    AL 25       70768       34856       35912
01    AL 26       67204       33020       34184
01    AL 27       66017       32454       33563
01    AL 28       61379       30055       31324
01    AL 29       63549       31207       32342
01    AL 30       61367       30205       31162
01    AL 31       58172       28544       29628
01    AL 32       57135       27885       29250
01    AL 33       57478       28025       29453
01    AL 34       58917       28840       30077
01    AL 35       61825       30057       31768
01    AL 36       44633       21781       22852
01    AL 37       46211       22374       23837
01    AL 38       45450       21977       23473
01    AL 39       50948       24779       26169
01    AL 40       44615       21658       22957
01    AL 41       41390       19837       21553
01    AL 42       40574       19460       21114
01    AL 43       40710       19399       21311
01    AL 44       41126       19757       21369
01    AL 45       38398       18465       19933
01    AL 46       38970       18682       20288
01    AL 47       39650       19024       20626
01    AL 48       36442       17419       19023
01    AL 49       38038       18142       19896
01    AL 50       38476       18140       20336
01    AL 51       37662       17582       20080
01    AL 52       37976       17927       20049
01    AL 53       38432       18175       20257
01    AL 54       40260       18833       21427
01    AL 55       39022       17985       21037
01    AL 56       38104       17655       20449
01    AL 57       38993       18097       20896
01    AL 58       36789       16990       19799
01    AL 59       37257       16942       20315
01    AL 60       37929       17322       20607
01    AL 61       36186       16623       19563
01    AL 62       35148       15936       19212
01    AL 63       33681       15135       18546
01    AL 64       31980       14365       17615
01    AL 65       32800       14458       18342
01    AL 66       30947       13538       17409
01    AL 67       32287       13888       18399
01    AL 68       29668       12745       16923
01    AL 69       29966       12697       17269
01    AL 70       28943       12255       16688
01    AL 71       26823       11180       15643
01    AL 72       25575       10631       14944
01    AL 73       23450        9393       14057
01    AL 74       22672        8956       13716
01    AL 75       21244        8281       12963
01    AL 76       19391        7327       12064
01    AL 77       17808        6759       11049
01    AL 78       15890        5924        9966
01    AL 79       15220        5593        9627
01    AL 80       12633        4528        8105
01    AL 81       10809        3775        7034
01    AL 82        9538        3269        6269
01    AL 83        8541        2872        5669
01    AL 84        7890        2612        5278
01    AL 85       36874       10581       26293
