File with multiple tables.  Each table has row headers in columns B and C and column headers in row 6.,,,,,,,,,,,,,,,,,,,,
"Estimates of the Population of Counties in the United States by Age, Sex, and Race:  July 1, 1988",,,,,,,,,,,,,,,,,,,,
"Source:  Intercensal Population Estimates by Age, Sex, and Race:  1980-1989",,,,,,,,,,,,,,,,,,,,
"Internet Release date:  October 22, 2004",,,,,,,,,,,,,,,,,,,,
"Revised May 12, 2009",,,,,,,,,,,,,,,,,,,,
Year of Estimate,FIPS State and County Codes,Race/Sex Indicator,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
,,,,,,,,,,,,,,,,,,,,
1988,1001,White male,1055,1109,1145,1098,901,1072,1098,1028,983,840,741,636,503,393,266,181,98,40
1988,1001,White female,954,978,972,1066,856,1107,1160,1080,1024,833,754,636,531,443,384,310,206,144
1988,1001,Black male,302,345,351,401,234,244,222,177,143,113,113,91,106,106,79,65,38,21
1988,1001,Black female,310,354,347,388,300,280,274,234,177,140,130,133,150,133,113,83,67,65
1988,1001,Other races male,6,7,4,8,7,4,7,4,8,4,2,3,1,1,0,0,0,0
1988,1001,Other races female,8,7,9,7,5,4,11,13,9,9,14,9,7,2,1,2,0,0
1988,1003,White male,2760,2908,2931,3028,2358,2888,3038,2952,2847,2329,2058,2037,2165,2093,1583,1040,537,279
1988,1003,White female,2646,2660,2721,2791,2341,3050,3188,3079,2790,2431,2155,2178,2466,2293,1819,1416,922,629
1988,1003,Black male,614,689,667,661,430,454,421,359,261,197,189,196,183,147,138,110,68,45
1988,1003,Black female,614,644,629,701,516,563,521,416,294,274,272,226,230,200,203,157,90,74
1988,1003,Other races male,14,39,30,35,25,20,32,30,24,23,17,24,11,8,4,3,3,0
1988,1003,Other races female,27,36,40,35,30,35,42,56,31,24,28,18,16,14,7,6,3,3
1988,1005,White male,454,478,513,551,435,532,519,506,510,391,355,359,367,322,237,185,87,44
1988,1005,White female,389,472,458,479,434,515,492,502,513,396,371,399,404,420,347,293,200,137
1988,1005,Black male,520,616,557,550,371,389,368,322,250,181,143,149,152,150,142,120,61,35
1988,1005,Black female,525,594,531,556,438,475,410,391,319,253,200,200,262,221,227,189,121,93
1988,1005,Other races male,3,3,2,4,5,3,3,3,3,4,3,2,0,0,0,1,0,0
1988,1005,Other races female,3,3,5,2,2,3,4,4,5,3,2,3,1,2,2,0,1,0
1988,1007,White male,428,508,497,555,489,503,477,458,429,406,298,291,282,211,159,138,81,45
1988,1007,White female,413,439,457,521,465,468,468,447,422,397,314,307,289,288,242,242,140,108
1988,1007,Black male,153,196,198,185,136,125,114,99,74,56,40,38,47,45,34,35,20,15
1988,1007,Black female,171,166,195,187,146,148,123,117,79,64,53,59,65,69,61,49,33,29
1988,1007,Other races male,0,2,5,2,0,0,0,2,3,0,0,1,1,0,0,1,0,0
1988,1007,Other races female,0,0,1,3,1,1,0,0,3,2,2,0,0,0,0,1,0,0
1988,1009,White male,1313,1324,1401,1556,1371,1492,1440,1379,1281,1118,1011,890,849,689,534,426,212,116
1988,1009,White female,1249,1321,1346,1446,1311,1438,1457,1396,1325,1138,1037,938,911,820,770,598,413,250
1988,1009,Black male,21,20,26,28,18,22,22,19,14,10,9,7,8,7,6,7,2,1
1988,1009,Black female,27,20,20,25,22,28,26,16,19,12,11,10,10,12,10,7,7,3
1988,1009,Other races male,3,5,7,3,2,3,6,7,9,3,5,3,1,3,3,1,0,0
1988,1009,Other races female,4,10,9,8,5,4,6,7,7,10,3,3,3,1,3,2,1,0
1988,1011,White male,82,80,91,103,125,148,153,159,116,95,81,90,90,96,72,53,22,11
1988,1011,White female,96,61,71,80,72,83,102,98,92,85,88,106,91,108,89,98,54,39
1988,1011,Black male,372,423,375,340,253,309,285,257,171,155,119,97,104,110,109,101,54,40
1988,1011,Black female,397,414,393,395,303,323,300,260,187,176,131,150,160,170,209,155,106,79
1988,1011,Other races male,2,0,0,0,2,2,1,1,1,2,0,0,0,1,0,0,0,0
1988,1011,Other races female,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0
1988,1013,White male,436,484,453,464,370,456,486,455,399,351,319,328,349,307,296,186,110,67
1988,1013,White female,404,476,413,442,349,454,499,427,412,372,345,396,431,396,401,379,245,186
1988,1013,Black male,427,539,467,460,247,233,273,234,184,163,134,108,132,110,112,105,58,50
1988,1013,Black female,437,485,491,463,350,361,333,316,220,171,160,148,187,178,162,144,102,82
1988,1013,Other races male,3,1,2,2,2,1,1,2,3,1,1,2,0,0,1,0,0,0
1988,1013,Other races female,1,3,4,2,1,1,2,0,1,2,0,1,1,0,0,0,0,0
1988,1015,White male,3045,3132,3364,4380,4438,3913,3714,3474,3188,2605,2265,2161,2031,1738,1307,870,460,226
1988,1015,White female,2760,3042,3103,3887,3945,3732,3788,3504,3192,2652,2415,2462,2525,2284,1902,1509,928,693
1988,1015,Black male,909,1003,970,1245,1086,882,836,682,471,385,314,317,293,250,200,132,71,46
1988,1015,Black female,948,925,981,1187,1270,999,934,764,532,449,415,406,439,377,313,241,165,104
1988,1015,Other races male,38,43,43,56,50,44,35,34,30,21,13,13,12,5,4,1,2,2
1988,1015,Other races female,35,47,44,46,58,55,84,74,77,48,24,23,12,6,6,4,2,2
1988,1017,White male,726,746,758,837,805,826,846,794,755,682,613,626,624,579,511,378,223,103
1988,1017,White female,663,736,704,818,767,815,855,776,768,680,630,747,754,781,751,642,423,264
1988,1017,Black male,584,641,696,697,554,510,437,410,298,251,198,170,170,169,149,127,68,41
1988,1017,Black female,546,641,640,728,561,567,538,493,390,319,257,275,282,256,234,209,118,99
1988,1017,Other races male,2,3,2,2,3,2,2,1,1,4,2,1,0,0,0,0,0,0
1988,1017,Other races female,1,0,4,1,1,4,2,3,4,3,2,1,0,1,1,1,0,0
1988,1019,White male,568,591,678,752,653,638,694,622,634,528,503,465,464,427,321,229,106,49
1988,1019,White female,504,574,612,647,613,647,654,631,645,550,508,551,525,479,418,314,201,125
1988,1019,Black male,63,57,63,63,52,50,57,49,37,29,29,24,23,16,11,7,10,4
1988,1019,Black female,41,59,57,76,54,50,53,48,42,33,33,23,32,17,27,22,12,9
1988,1019,Other races male,2,2,4,1,4,2,2,2,0,1,1,2,1,1,0,1,0,0
