Table 4-2,,,,,,,,,,,,
"Median annual salary of full-time employed college graduates, by sex, major occupation, age, ethnicity, race, disability status, and citizenship status: 2023",,,,,,,,,,,,
(Dollars),,,,,,,,,,,,
"Sex, occupation, and age",Total,Hispanic or Latino,Not Hispanic or Latino,,,,,,Without disability,With disability,U.S. citizen,Non-U.S. citizen
,,,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,More than one race,,,,
Both sexes,"85,000","75,000","64,000","108,000","72,000","80,000","87,000","82,000","88,000","75,000","85,000","106,000"
Both sexes:29 and younger,"61,000","59,000","62,000","77,000","57,000",S,"62,000","52,000","62,000","56,000","60,000","75,000"
Both sexes:30–39,"85,000","75,000","67,000","108,000","70,000","77,000","85,000","84,000","87,000","72,000","84,000","114,000"
Both sexes:40–49,"99,000","87,000","97,000","129,000","81,000","99,000","98,000","106,000","100,000","83,000","98,000","118,000"
Both sexes:50–75,"98,000","90,000","59,000","110,000","77,000","80,000","100,000","100,000","100,000","80,000","98,000","84,000"
S&E occupations,"110,000","96,000","85,000","127,000","96,000","86,000","110,000","106,000","113,000","95,000","109,000","130,000"
S&E occupations:29 and younger,"84,000","74,000",D,"100,000","78,000",D,"84,000","82,000","85,000","69,000","83,000","110,000"
S&E occupations:30–39,"112,000","100,000","86,000","125,000","94,000",S,"110,000","120,000","115,000","94,000","108,000","130,000"
S&E occupations:40–49,"122,000","118,000",D,"140,000","104,000",D,"120,000","115,000","125,000","108,000","120,000","135,000"
S&E occupations:50–75,"125,000","112,000","122,000","144,000","116,000",D,"125,000","110,000","129,000","110,000","125,000","130,000"
"Biological, agricultural, and other life scientists","80,000","71,000",*,"101,000","70,000",D,"77,000","83,000","83,000","55,000","80,000","85,000"
"Biological, agricultural, and other life scientists:29 and younger","50,000","55,000",D,"48,000","38,000",D,"51,000","38,000","54,000",S,"51,000","41,000"
"Biological, agricultural, and other life scientists:30–39","77,000","70,000",D,"102,000","68,000",D,"70,000","83,000","81,000","55,000","73,000","93,000"
"Biological, agricultural, and other life scientists:40–49","95,000","99,000",D,"119,000","150,000",D,"87,000","136,000","96,000","87,000","94,000","109,000"
"Biological, agricultural, and other life scientists:50–75","110,000","71,000",D,"125,000","138,000",D,"104,000",S,"110,000","88,000","110,000","84,000"
