unit,smoking,quant_inc,sex,age,geo\time	2019 	2014 
PC,NSM,QU1,F,TOTAL,AT	76.1 	72.5 
PC,NSM,QU1,F,TOTAL,BE	76.7 	72.5 u
PC,NSM,QU1,F,TOTAL,BG	81.5 	74.2 
PC,NSM,QU1,F,TOTAL,CY	83.7 	83.9 
PC,NSM,QU1,F,TOTAL,CZ	77.7 	75.1 
PC,NSM,QU1,F,TOTAL,DE	69.5 	78.0 
PC,NSM,QU1,F,TOTAL,DK	75.5 	76.8 
PC,NSM,QU1,F,TOTAL,EE	82.8 	74.6 
PC,NSM,QU1,F,TOTAL,EL	70.8 	71.8 
PC,NSM,QU1,F,TOTAL,ES	77.3 	76.0 
PC,NSM,QU1,F,TOTAL,EU27_2020	77.3 	77.0 
PC,NSM,QU1,F,TOTAL,EU28	: 	77.0 
PC,NSM,QU1,F,TOTAL,FI	85.0 	78.8 
PC,NSM,QU1,F,TOTAL,FR	77.0 	69.2 
PC,NSM,QU1,F,TOTAL,HR	81.3 	73.1 
PC,NSM,QU1,F,TOTAL,HU	67.0 	77.2 
PC,NSM,QU1,F,TOTAL,IE	80.3 	77.7 
PC,NSM,QU1,F,TOTAL,IS	87.5 	76.9 
PC,NSM,QU1,F,TOTAL,IT	81.8 	81.2 
PC,NSM,QU1,F,TOTAL,LT	89.9 	81.6 
PC,NSM,QU1,F,TOTAL,LU	79.3 	74.2 
PC,NSM,QU1,F,TOTAL,LV	85.1 	76.9 
PC,NSM,QU1,F,TOTAL,MT	74.9 	81.7 
PC,NSM,QU1,F,TOTAL,NL	70.9 	70.0 
PC,NSM,QU1,F,TOTAL,NO	81.8 	80.0 
PC,NSM,QU1,F,TOTAL,PL	80.4 	74.4 
PC,NSM,QU1,F,TOTAL,PT	88.8 	87.0 
PC,NSM,QU1,F,TOTAL,RO	89.8 	90.4 
PC,NSM,QU1,F,TOTAL,RS	67.3 	: 
PC,NSM,QU1,F,TOTAL,SE	84.8 	85.6 
PC,NSM,QU1,F,TOTAL,SI	79.8 	81.5 
PC,NSM,QU1,F,TOTAL,SK	76.1 	71.3 
PC,NSM,QU1,F,TOTAL,TR	86.2 	85.2 
PC,NSM,QU1,F,TOTAL,UK	: 	77.0 
PC,NSM,QU1,F,Y15-19,AT	80.5 u	73.8 
PC,NSM,QU1,F,Y15-19,BE	: u	: u
PC,NSM,QU1,F,Y15-19,BG	: u	72.2 u
PC,NSM,QU1,F,Y15-19,CY	: u	100 u
PC,NSM,QU1,F,Y15-19,CZ	91.6 u	82.4 u
PC,NSM,QU1,F,Y15-19,DE	61.8 	81.7 
PC,NSM,QU1,F,Y15-19,DK	: u	: u
PC,NSM,QU1,F,Y15-19,EE	: u	88.8 u
PC,NSM,QU1,F,Y15-19,EL	: u	88.3 u
PC,NSM,QU1,F,Y15-19,ES	80.4 	87.5 
PC,NSM,QU1,F,Y15-19,EU27_2020	76.9 	: 
PC,NSM,QU1,F,Y15-19,EU28	: 	83.4 
PC,NSM,QU1,F,Y15-19,FI	87.9 u	73.3 u
PC,NSM,QU1,F,Y15-19,FR	79.1 	76.6 
PC,NSM,QU1,F,Y15-19,HR	: u	75.8 u
PC,NSM,QU1,F,Y15-19,HU	74.0 u	80.1 u
PC,NSM,QU1,F,Y15-19,IE	: u	: u
PC,NSM,QU1,F,Y15-19,IS	84.2 u	92.4 u
PC,NSM,QU1,F,Y15-19,IT	89.6 	87.6 
PC,NSM,QU1,F,Y15-19,LT	: u	80.9 u
PC,NSM,QU1,F,Y15-19,LU	: u	73.2 u
PC,NSM,QU1,F,Y15-19,LV	: u	80.3 
PC,NSM,QU1,F,Y15-19,MT	: u	: u
PC,NSM,QU1,F,Y15-19,NL	: u	75.8 
