Year,Place,StatVar,Quantity
2019,geoId/01,dcid:Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,845772
2019,geoId/01,dcid:MarginOfError_Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,8398
2019,geoId/01,dcid:Count_Person_BachelorOfScienceAndEngineeringMajor,247287
2019,geoId/01,dcid:MarginOfError_Count_Person_BachelorOfScienceAndEngineeringMajor,4328
2019,geoId/01,dcid:Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,90359
2019,geoId/01,dcid:MarginOfError_Count_Person_BachelorOfScienceAndEngineeringRelatedMajor,2321
2019,geoId/01,dcid:Count_Person_BachelorOfBusinessMajor,197583
2019,geoId/01,dcid:MarginOfError_Count_Person_BachelorOfBusinessMajor,3353
2019,geoId/01,dcid:Count_Person_BachelorOfEducationMajor,142195
2019,geoId/01,dcid:MarginOfError_Count_Person_BachelorOfEducationMajor,2671
2019,geoId/01,dcid:Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,168348
2019,geoId/01,dcid:MarginOfError_Count_Person_BachelorOfArtsHumanitiesAndOtherMajor,2898
2019,geoId/01,dcid:Count_Person_25To39Years_EducationalAttainmentBachelorsDegreeOrHigher,257040
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_EducationalAttainmentBachelorsDegreeOrHigher,4890
2019,geoId/01,dcid:Count_Person_25To39Years_BachelorOfScienceAndEngineeringMajor,82005
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_BachelorOfScienceAndEngineeringMajor,2635
2019,geoId/01,dcid:Count_Person_25To39Years_BachelorOfScienceAndEngineeringRelatedMajor,30069
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_BachelorOfScienceAndEngineeringRelatedMajor,1408
2019,geoId/01,dcid:Count_Person_25To39Years_BachelorOfBusinessMajor,56960
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_BachelorOfBusinessMajor,1850
2019,geoId/01,dcid:Count_Person_25To39Years_BachelorOfEducationMajor,29074
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_BachelorOfEducationMajor,1432
2019,geoId/01,dcid:Count_Person_25To39Years_BachelorOfArtsHumanitiesAndOtherMajor,58932
2019,geoId/01,dcid:MarginOfError_Count_Person_25To39Years_BachelorOfArtsHumanitiesAndOtherMajor,2055
2019,geoId/01,dcid:Count_Person_40To64Years_EducationalAttainmentBachelorsDegreeOrHigher,410763
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_EducationalAttainmentBachelorsDegreeOrHigher,5332
2019,geoId/01,dcid:Count_Person_40To64Years_BachelorOfScienceAndEngineeringMajor,115331
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_BachelorOfScienceAndEngineeringMajor,2639
2019,geoId/01,dcid:Count_Person_40To64Years_BachelorOfScienceAndEngineeringRelatedMajor,44807
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_BachelorOfScienceAndEngineeringRelatedMajor,1636
2019,geoId/01,dcid:Count_Person_40To64Years_BachelorOfBusinessMajor,105749
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_BachelorOfBusinessMajor,2574
2019,geoId/01,dcid:Count_Person_40To64Years_BachelorOfEducationMajor,66640
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_BachelorOfEducationMajor,1832
2019,geoId/01,dcid:Count_Person_40To64Years_BachelorOfArtsHumanitiesAndOtherMajor,78236
2019,geoId/01,dcid:MarginOfError_Count_Person_40To64Years_BachelorOfArtsHumanitiesAndOtherMajor,1998
2019,geoId/01,dcid:Count_Person_65OrMoreYears_EducationalAttainmentBachelorsDegreeOrHigher,177969
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_EducationalAttainmentBachelorsDegreeOrHigher,2625
2019,geoId/01,dcid:Count_Person_65OrMoreYears_BachelorOfScienceAndEngineeringMajor,49951
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_BachelorOfScienceAndEngineeringMajor,1366
2019,geoId/01,dcid:Count_Person_65OrMoreYears_BachelorOfScienceAndEngineeringRelatedMajor,15483
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_BachelorOfScienceAndEngineeringRelatedMajor,839
2019,geoId/01,dcid:Count_Person_65OrMoreYears_BachelorOfBusinessMajor,34874
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_BachelorOfBusinessMajor,1099
2019,geoId/01,dcid:Count_Person_65OrMoreYears_BachelorOfEducationMajor,46481
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_BachelorOfEducationMajor,1370
2019,geoId/01,dcid:Count_Person_65OrMoreYears_BachelorOfArtsHumanitiesAndOtherMajor,31180
2019,geoId/01,dcid:MarginOfError_Count_Person_65OrMoreYears_BachelorOfArtsHumanitiesAndOtherMajor,1211
