Year,Place,StatVar,Quantity,Unit
2019,geoId/72,dcid:Count_Person,3318447.0,
2019,geoId/72,dcid:Count_Person_Male,1579580.772,
2019,geoId/72,dcid:MarginOfError_Count_Person_Male,3318.447,
2019,geoId/72,dcid:Count_Person_Female,1738866.228,
2019,geoId/72,dcid:MarginOfError_Count_Person_Female,3318.447,
2019,geoId/72,dcid:Count_Person_15OrLessYears,517677.732,
2019,geoId/72,dcid:MarginOfError_Count_Person_15OrLessYears,3318.447,
2019,geoId/72,dcid:Count_Person_15To17Years,129419.433,
2019,geoId/72,dcid:MarginOfError_Count_Person_15To17Years,3318.447,
2019,geoId/72,dcid:Count_Person_18To24Years,325207.806,
2019,geoId/72,dcid:MarginOfError_Count_Person_18To24Years,3318.447,
2019,geoId/72,dcid:Count_Person_25To34Years,414805.875,
2019,geoId/72,dcid:MarginOfError_Count_Person_25To34Years,3318.447,
2019,geoId/72,dcid:Count_Person_35To44Years,411487.428,
2019,geoId/72,dcid:MarginOfError_Count_Person_35To44Years,3318.447,
2019,geoId/72,dcid:Count_Person_45To54Years,434716.557,
2019,geoId/72,dcid:MarginOfError_Count_Person_45To54Years,3318.447,
2019,geoId/72,dcid:Count_Person_55To64Years,431398.11,
2019,geoId/72,dcid:Count_Person_65To74Years,361710.723,
2019,geoId/72,dcid:Count_Person_75To84Years,212380.608,
2019,geoId/72,dcid:MarginOfError_Count_Person_75To84Years,3318.447,
2019,geoId/72,dcid:Count_Person_85OrMoreYears,79642.728,
2019,geoId/72,dcid:MarginOfError_Count_Person_85OrMoreYears,3318.447,
2019,geoId/72,dcid:Count_Person_Upto18Years,648346.0,
2019,geoId/72,dcid:Count_Person_18OrLessYears_Male,330656.46,
2019,geoId/72,dcid:MarginOfError_Count_Person_18OrLessYears_Male,648.346,
2019,geoId/72,dcid:Count_Person_18OrLessYears_Female,317689.54,
2019,geoId/72,dcid:MarginOfError_Count_Person_18OrLessYears_Female,648.346,
2019,geoId/72,dcid:Count_Person_65OrMoreYears,653736.0,
2019,geoId/72,dcid:Count_Person_65OrMoreYears_Male,284375.16,
2019,geoId/72,dcid:Count_Person_65OrMoreYears_Female,369360.84,
2019,geoId/72,dcid:Median_Age_Person,41.7,Years
2019,geoId/72,dcid:Count_Person_OneRace,3142798.0,
2019,geoId/72,dcid:MarginOfError_Count_Person_OneRace,4948,
2019,geoId/72,dcid:Count_Person_WhiteAlone,2187387.408,
2019,geoId/72,dcid:MarginOfError_Count_Person_WhiteAlone,9428.394,
2019,geoId/72,dcid:Count_Person_BlackOrAfricanAmericanAlone,386564.154,
2019,geoId/72,dcid:MarginOfError_Count_Person_BlackOrAfricanAmericanAlone,6285.596,
2019,geoId/72,dcid:Count_Person_AmericanIndianOrAlaskaNativeAlone,6285.596,
2019,geoId/72,dcid:MarginOfError_Count_Person_AmericanIndianOrAlaskaNativeAlone,3142.798,
2019,geoId/72,dcid:Count_Person_AsianAlone,6285.596,
2019,geoId/72,dcid:MarginOfError_Count_Person_AsianAlone,3142.798,
2019,geoId/72,dcid:Count_Person_NativeHawaiianOrOtherPacificIslanderAlone,0.0,
2019,geoId/72,dcid:MarginOfError_Count_Person_NativeHawaiianOrOtherPacificIslanderAlone,3142.798,
2019,geoId/72,dcid:Count_Person_SomeOtherRaceAlone,556275.246,
2019,geoId/72,dcid:MarginOfError_Count_Person_SomeOtherRaceAlone,6285.596,
2019,geoId/72,dcid:Count_Person_TwoOrMoreRaces,175649,
2019,geoId/72,dcid:MarginOfError_Count_Person_TwoOrMoreRaces,4948,
2019,geoId/72,dcid:Count_Person_HispanicOrLatino,3275307.189,
2019,geoId/72,dcid:MarginOfError_Count_Person_HispanicOrLatino,3318.447,
2019,geoId/72,dcid:Count_Person_WhiteAloneNotHispanicOrLatino,33184.47,
2019,geoId/72,dcid:MarginOfError_Count_Person_WhiteAloneNotHispanicOrLatino,3318.447,
2019,geoId/72,dcid:Count_Person_15OrMoreYears,2800109.0,
2019,geoId/72,dcid:MarginOfError_Count_Person_15OrMoreYears,162,
2019,geoId/72,dcid:Count_Person_MarriedAndNotSeparated,1008039.24,
2019,geoId/72,dcid:MarginOfError_Count_Person_MarriedAndNotSeparated,8400.327,
2019,geoId/72,dcid:Count_Person_Widowed,210008.175,
2019,geoId/72,dcid:MarginOfError_Count_Person_Widowed,2800.109,
2019,geoId/72,dcid:Count_Person_Divorced,380814.824,
2019,geoId/72,dcid:MarginOfError_Count_Person_Divorced,5600.218,
2019,geoId/72,dcid:Count_Person_Separated,72802.834,
2019,geoId/72,dcid:MarginOfError_Count_Person_Separated,2800.109,
2019,geoId/72,dcid:Count_Person_NeverMarried,1131244.036,
2019,geoId/72,dcid:MarginOfError_Count_Person_NeverMarried,5600.218,
2019,geoId/72,dcid:Count_Person_EnrolledInSchool,800195.0,
2019,geoId/72,dcid:MarginOfError_Count_Person_EnrolledInSchool,4205,
2019,geoId/72,dcid:Count_Person_EnrolledInNurseryThroughGrade12_EnrolledInSchool,548133.575,
2019,geoId/72,dcid:MarginOfError_Count_Person_EnrolledInNurseryThroughGrade12_EnrolledInSchool,2400.585,
2019,geoId/72,dcid:Count_Person_EnrolledInCollegeOrGraduateSchool,252061.425,
2019,geoId/72,dcid:MarginOfError_Count_Person_EnrolledInCollegeOrGraduateSchool,2400.585,
2019,geoId/72,dcid:Count_Person_25OrMoreYears,2345959.0,
2019,geoId/72,dcid:MarginOfError_Count_Person_25OrMoreYears,448,
2019,geoId/72,dcid:Count_Person_EducationalAttainmentHighSchoolGraduateOrHigher,1794658.635,
2019,geoId/72,dcid:MarginOfError_Count_Person_EducationalAttainmentHighSchoolGraduateOrHigher,4691.918,
2019,geoId/72,dcid:Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,607603.381,
2019,geoId/72,dcid:MarginOfError_Count_Person_EducationalAttainmentBachelorsDegreeOrHigher,7037.877,
