state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,108883,Toluene,111.921,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201210080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0189163,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201000062,A,R,VOC,Volatile Organic Compounds,.151376,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202420080,A,R,100414,Ethyl Benzene,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202420080,A,R,N2O,Nitrous Oxide,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201540080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.000896436,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,123386,Propionaldehyde,.0817042,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202540080,A,R,75070,Acetaldehyde,6.39584,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,540841,"2,2,4-Trimethylpentane",3200.8,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202210080,A,R,100425,Styrene,6.25212,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2203420080,A,R,110543,Hexane,0,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202310080,A,R,110543,Hexane,106.134,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201320080,A,R,71432,Benzene,276.624,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201320080,A,R,1330207,Xylenes (Mixed Isomers),618.376,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202530080,A,R,VOC,Volatile Organic Compounds,.431789,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202530080,A,R,50000,Formaldehyde,75.627,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202430080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.12979,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201310080,A,R,NH3,Ammonia,5.57401,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201540080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0103544,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201110080,A,R,100414,Ethyl Benzene,24.115,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201110080,A,R,107028,Acrolein,.371828,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202520080,A,R,N2O,Nitrous Oxide,.00307593,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,SO2,Sulfur Dioxide,.0000291208,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,7439965,Manganese,.00000258148,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,106990,"1,3-Butadiene",.0156057,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202430080,A,R,50000,Formaldehyde,5.70002,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201420080,A,R,71432,Benzene,.0448828,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201310080,A,R,123386,Propionaldehyde,30.3604,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201530080,A,R,75070,Acetaldehyde,1.279116,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202310080,A,R,NH3,Ammonia,.15281,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202620080,A,R,100425,Styrene,5.7959,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202530080,A,R,106990,"1,3-Butadiene",.908596,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202530080,A,R,540841,"2,2,4-Trimethylpentane",.725562,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201210080,A,R,75070,Acetaldehyde,531.606,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201110080,A,R,NOX,Nitrogen Oxides,.795356,TON,2014NEIV2
