DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1986,20898,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1987,22148,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1988,22814,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1989,23813,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1990,24171,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1991,25542,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1992,27572,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1993,28864,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1994,30406,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1995,30228,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1996,30200,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1997,30627,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1998,31025,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,1999,31384,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2000,31538,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2001,31576,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2002,31915,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2003,32354,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2004,34738,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2005,36790.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2006,37575.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2007,38705.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2008,39622.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2009,40303.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2010,40296.0,,
ESTAT:DEMO_PJANBROAD(1.0),08/05/26 11:00:00,A,NR,TOTAL,F,AD,2011,38252,,
