observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2026,country/IND,dcid:Count_Person,1432052000,,dcs:dcAggregate/NITIIndiaProjection,
2026,country/IND,dcid:Count_Person_Female,696945000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person,407000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person_Female,193000,,NITIIndiaProjection,
2026,country/IND,dcid:Count_Person_Male,735107000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q40888,dcid:Count_Person_Male,214000,,NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person,53763000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person_Female,26906000,,NITIIndiaProjection,
2026,wikidataId/Q1159,dcid:Count_Person_Male,26857000,,NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person,1611000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person_Female,784000,,NITIIndiaProjection,
2026,wikidataId/Q1162,dcid:Count_Person_Male,827000,,NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person,36889000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person_Female,18145000,,NITIIndiaProjection,
2026,wikidataId/Q1164,dcid:Count_Person_Male,18744000,,NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person,133289000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person_Female,64131000,,NITIIndiaProjection,
2026,wikidataId/Q1165,dcid:Count_Person_Male,69158000,,NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person,1273000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person_Female,589000,,NITIIndiaProjection,
2026,wikidataId/Q120971341,dcid:Count_Person_Male,684000,,NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person,31387000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person_Female,15648000,,NITIIndiaProjection,
2026,wikidataId/Q1168,dcid:Count_Person_Male,15739000,,NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person,22775000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person_Female,10687000,,NITIIndiaProjection,
2026,wikidataId/Q1353,dcid:Count_Person_Male,12088000,,NITIIndiaProjection,
2026,wikidataId/Q1171,dcid:Count_Person,1603000,,dcs:dcAggregate/NITIIndiaProjection,
2026,wikidataId/Q1171,dcid:Count_Person_Female,797000,,NITIIndiaProjection,
