DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2005,69,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2006,52,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2007,78,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2008,67,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2009,69,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2010,69,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2011,68,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2012,59,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AD,2018,40,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,1997,4743,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,1998,4743,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2004,3588,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2005,3092,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2006,3191,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2007,2893,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2013,2839,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2014,2837,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2015,2742,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2016,2517,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2017,2423,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2018,2468,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2019,2393,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2020,2316,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2021,2066,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2022,2277,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2023,1991,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AL,2024,1985,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2005,3319,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2006,3354,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2007,3362,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2008,3389,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2009,3715,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2014,3597,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2015,3444,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2016,4009,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2017,3081,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2018,3031,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2019,3020,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2020,2751,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2022,2890,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AM,2023,3275,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1960,10666,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1961,11372,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1962,11433,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1963,11805,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1964,11343,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1965,11378,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1966,10723,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1967,10993,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1968,11197,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1969,10987,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1970,9759,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1971,9507,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1972,9187,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1973,8750,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1974,8545,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1975,8343,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1976,8047,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1977,7259,,
ESTAT:DEMO_FMONTH(1.0),20/04/26 23:00:00,A,NR,M01,AT,1978,7157,,
