RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,ELA Proficiency Total Count,ELA Proficiency White Count,ELA Proficiency Black or African American Count,ELA Proficiency Hispanic or Latino Count,ELA Proficiency Asian Count,ELA Proficiency Native Hawaiian or Other Pacific Islander Count,ELA Proficiency American Indian or Alaska Native Count,ELA Proficiency Two or More Races Count,ELA Proficiency IEP Count,ELA Proficiency EL Count,ELA Proficiency Low Income Count,ELA Proficiency Total %,ELA Proficiency White %,ELA Proficiency Black or African American %,ELA Proficiency Hispanic or Latino %,ELA Proficiency Asian %,ELA Proficiency Native Hawaiian or Other Pacific Islander %,ELA Proficiency American Indian or Alaska Native %,ELA Proficiency Two or More Races %,ELA Proficiency IEP %,ELA Proficiency EL %,ELA Proficiency Low Income %,Math Proficiency Total Count,Math Proficiency White Count,Math Proficiency Black or African American Count,Math Proficiency Hispanic or Latino Count,Math Proficiency Asian Count,Math Proficiency Native Hawaiian or Other Pacific Islander Count,Math Proficiency American Indian or Alaska Native Count,Math Proficiency Two or More Races Count,Math Proficiency IEP Count,Math Proficiency EL Count,Math Proficiency Low Income Count,Math Proficiency Total %,Math Proficiency White %,Math Proficiency Black or African American %,Math Proficiency Hispanic or Latino %,Math Proficiency Asian %,Math Proficiency Native Hawaiian or Other Pacific Islander %,Math Proficiency American Indian or Alaska Native %,Math Proficiency Two or More Races %,Math Proficiency IEP %,Math Proficiency EL %,Math Proficiency Low Income %,ELA Growth All %,ELA White Growth  %,ELA Black or African American Growth  %,ELA Hispanic or Latino Growth  %,ELA Asian Growth  %,ELA Native Hawaiian or Other Pacific Islander Growth  %,ELA American Indian or Alaska Native Growth  %,ELA Two or More Races Growth  %,ELA Growth IEP  %,ELA Growth EL  %,ELA Growth Low Income  %,Math Growth All %,Math White Growth  %,Math Black or African American Growth  %,Math Hispanic or Latino Growth  %,Math Asian Growth  %,Math Native Hawaiian or Other Pacific Islander Growth  %,Math American Indian or Alaska Native Growth  %,Math Two or More Races Growth  %,Math Growth IEP  %,Math Growth EL  %,Math Growth Low Income  %,ELA Participation Total Student Count,ELA Participation Total Male Count,ELA Participation Total Female Count,ELA Participation Total White Count,ELA Participation Total Black or African American Count,ELA Participation Total Hispanic or Latino Count,ELA Participation Total Asian Count,ELA Participation Total Native Hawaiian or Other Pacific Islander Count,ELA Participation Total American Indian or Alaska Native Count,ELA Participation Total Two or More Races Count,ELA Participation Total IEP Count,ELA Participation Total EL Count,ELA Participation Total Low Income Count,ELA Participation Total Student %,ELA Participation Total Male %,ELA Participation Total Female %,ELA Participation Total White %,ELA Participation Total Black or African American %,ELA Participation Total Hispanic or Latino %,ELA Participation Total Asian %,ELA Participation Total Native Hawaiian or Other Pacific Islander %,ELA Participation Total American Indian or Alaska Native %,ELA Participation Total Two or More Races %,ELA Participation Total IEP %,ELA Participation Total EL %,ELA Participation Total Low Income %,ELA Proficiency Total Student Count,ELA Proficiency Total Male Count,ELA Proficiency Total Female Count,ELA Proficiency Male %,ELA Proficiency Female %,Total EL students,Total EL students Tested with Access,Total EL students Tested with Access - Proficient,Total EL students Tested with Access - Proficient %,Total EL Long Term EL Students,Total EL Long Term EL Students %,Math Proficiency Total Student Count,Math Proficiency Total Male Count,Math Proficiency Total Female Count,Math Proficiency Male %,Math Proficiency Female %,Math Participation Total Student Count,Math Participation Total Male Count,Math Participation Total Female Count,Math Participation Total White Count,Math Participation Total Black or African American Count,Math Participation Total Hispanic or Latino Count,Math Participation Total Asian Count,Math Participation Total Native Hawaiian or Other Pacific Islander Count,Math Participation Total American Indian or Alaska Native Count,Math Participation Total Two or More Race Count,Math Participation Total IEP Count,Math Participation Total IEP Count.1,Math Participation Total Low Income Count,Math Participation Total Student %,Math Participation Male %,Math Participation Female %,Math Participation White %,Math Participation Black or African American %,Math Participation Hispanic or Latino %,Math Participation Asian %,Math Participation Native Hawaiian or Other Pacific Islander %,Math Participation American Indian or Alaska Native %,Math Participation Two or More Race %,Math Participation IEP %,Math Participation IEP %.1,Math Participation Low Income %,ELA Grade 3 Proficient,Math Grade 3 Proficient,ELA Grade 4 Proficient,Math Grade 4 Proficient,ELA Grade 5 Proficient,Math Grade 5 Proficient,Science Grade 5 Proficient,ELA Grade 6 Proficient,Math Grade 6 Proficient,ELA Grade 7 Proficient,Math Grade 7 Proficient,ELA Grade 8 Proficient,Math Grade 8 Proficient,Science Grade 8 Proficient,ELA Grade 11 Proficient,Math Grade 11 Proficient
10010010260000,District,,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,,,93,90,,,,,,3,3,,42,31.7,31.9,,,,,,30,5.8,,26.4,58,56,,,,,,2,2,,20,19.8,19.9,,,,,,20,3.8,,12.6,45.1,45.2,,,,,,41.9,42.3,53,44,40.4,40.6,,,,,,33.3,38.8,79,38.7,293,157,136,282,,,,,,10,52,,159,100,100,100,100,,,,,,100,100,,100,93,39,54,24.8,39.7,,,,,,,58,25,33,15.8,24.4,293,158,135,281,,,,,,10,52,,159,100,100,100,100,,,,,,100,100,,100,7,7,14,5,16,8,22,15,8,14,13,12,6,23,15,11
10010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12,41,40,,,,,,,1,,18,32.3,32.5,,,,,,,4.3,,27.3,30,29,,,,,,,1,,11,23.8,23.8,,,,,,,4.3,,16.9,31.6,31.8,,,,,,26.3,33,27,30.8,31.9,31.8,,,,,,36,31.8,89,32.8,127,71,56,123,,,,,,,23,,66,100,100,100,100,,,,,,,100,,100,41,17,24,23.9,42.9,,,,,,,30,14,16,19.7,29.1,126,71,55,122,,,,,,,23,,65,100,100,100,100,,,,,,,100,,100,,,,,,,,,,14,13,12,6,23,15,11
10010010262002,School,Seymour Elementary School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,52,50,,,,,,,2,,24,31.5,31.6,,,,,,,7.1,,26.1,28,27,,,,,,,1,,9,16.9,17.1,,,,,,,3.6,,9.7,54.4,54.4,,,,,,53.5,49.4,79,53.1,46.1,46.6,,,,,,31.3,44.3,69,42.7,165,85,80,158,,,,,,,28,,92,100,100,100,100,,,,,,,100,,100,52,22,30,25.9,37.5,,,,,,,28,11,17,12.8,21.3,166,86,80,158,,,,,,,28,,93,100,100,100,100,,,,,,,100,,100,7,7,14,5,16,8,22,15,8,,,,,,,
10010020260000,District,,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,,,125,121,,,,,,,3,,18,41.9,41.9,,,,,,,5.2,,23.7,120,116,,,,,,,5,,18,40.3,40.1,,,,,,,8.6,,23.7,48.6,48.9,38,,,,,42,33.6,,47.9,55.8,55.9,79,,,,,50.8,51.3,,56.4,298,162,136,289,,,,,,,55,,75,96.1,96.4,95.8,96,,,,,,,90.2,,93.8,125,59,66,36.4,48.5,,,,,,,120,65,55,40.1,40.4,298,162,136,289,,,,,,,55,,75,96.1,96.4,95.8,96,,,,,,,90.2,,93.8,22,28,19,17,15,17,21,13,14,22,17,17,15,33,17,12
10010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 8 9 10 11 12,56,56,,,,,,,1,,6,41.5,42.4,,,,,,,4.4,,19.1,44,43,,,,,,,1,,6,32.6,32.6,,,,,,,4.4,,19.1,49.9,50.8,,,,,,13.5,34.9,,52.3,60.5,60.5,,,,,,59,53.9,,58.2,134,72,62,131,,,,,,,19,,30,94.4,92.3,96.9,94.2,,,,,,,79.2,,90.9,56,25,31,33.7,50,,,,,,,44,22,22,29.7,35.5,134,72,62,131,,,,,,,19,,30,94.4,92.3,96.9,94.2,,,,,,,79.2,,90.9,,,,,,,,,,22,17,17,15,33,17,12
10010020262002,School,Liberty Elementary School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,69,65,,,,,,,2,,12,42.6,41.7,,,,,,,5.9,,27.9,76,73,,,,,,,4,,12,46.9,46.8,,,,,,,11.8,,27.9,48.4,48.2,38,,,,,56.3,35.3,,47.6,52.4,52.3,79,,,,,46.8,50.2,,55.9,162,88,74,156,,,,,,,34,,43,97.6,100,94.9,97.5,,,,,,,97.1,,95.6,69,34,35,38.6,47.2,,,,,,,76,43,33,48.9,44.5,162,88,74,156,,,,,,,34,,43,97.6,100,94.9,97.5,,,,,,,97.1,,95.6,22,28,19,17,15,17,21,13,14,,,,,,,
10010030260000,District,,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,,,153,149,,,,,,4,7,,54,33.3,33.4,,,,,,30.8,7.9,,23.3,127,124,,,,,,3,6,,48,27.6,27.8,,,,,,23.1,6.7,,20.7,55.5,55.4,77,,,,,55.7,53.9,,55.1,61.3,61.2,,,,,,70.9,49.2,,58.5,460,246,214,446,,,,,,13,89,,232,99.4,99.2,99.5,99.3,,,,,,100,96.7,,98.7,153,68,85,27.6,39.7,,,,,,,127,79,48,32.1,22.4,460,246,214,446,,,,,,13,89,,232,99.4,99.2,99.5,99.3,,,,,,100,96.7,,98.7,10,20,5,1,24,32,39,50,23,27,20,20,16,46,17,15
10010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 10 11 12,17,17,,,,,,,,,4,32.7,34,,,,,,,,,22.2,15,15,,,,,,,,,4,28.8,30,,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,,,52,33,19,50,,,,,,,,,18,100,100,100,100,,,,,,,,,100,17,9,8,27.3,42.1,,,,,,,15,10,5,30.3,26.3,52,33,19,50,,,,,,,,,18,100,100,100,100,,,,,,,,,100,,,,,,,,,,,,,,,17,15
10010030261001,School,Central Junior High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 6 7 8,121,118,,,,,,,7,,46,44.2,44.5,,,,,,,14.9,,31.9,91,88,,,,,,,3,,37,33.2,33.2,,,,,,,6.4,,25.7,61,61.1,77,,,,,53.6,62.7,,59.7,66.6,66.6,,,,,,71.6,52.4,,62.6,274,149,125,265,,,,,,,47,,144,99.3,99.3,99.2,99.3,,,,,,,95.9,,98.6,121,53,68,35.6,54.4,,,,,,,91,54,37,36.2,29.6,274,149,125,265,,,,,,,47,,144,99.3,99.3,99.2,99.3,,,,,,,95.9,,98.6,,,,,24,32,39,50,23,27,20,20,16,46,,
10010030262003,School,Central Elementary Grade School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
