IndicatorCode,ConvertToInt,ExistingStatVar,IndicatorName,SourceNote,Source,populationType,statType,measuredProp,p1,v1,p2,v2,p3,v3,measurementDenominator,scalingFactor,sourceScalingFactor,measurementMethod,unit
SE.TER.CUAT.BA.FE.ZS,,,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,BachelorsDegreeOrHigher,age,Years25Onwards,gender,Female,Count_Person_25OrMoreYears_Female,,100,,
SE.TER.CUAT.BA.MA.ZS,,,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,BachelorsDegreeOrHigher,age,Years25Onwards,gender,Male,Count_Person_25OrMoreYears_Male,,100,,
SE.TER.CUAT.BA.ZS,,,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Bachelor's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,BachelorsDegreeOrHigher,age,Years25Onwards,,,Count_Person_25OrMoreYears,,100,,
SE.TER.CUAT.DO.FE.ZS,,,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,DoctorateDegree,age,Years25Onwards,gender,Female,Count_Person_25OrMoreYears_Female,,100,,
SE.TER.CUAT.DO.MA.ZS,,,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,DoctorateDegree,age,Years25Onwards,gender,Male,Count_Person_25OrMoreYears_Male,,100,,
SE.TER.CUAT.DO.ZS,,,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Doctoral or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,DoctorateDegree,age,Years25Onwards,,,Count_Person_25OrMoreYears,,100,,
SE.TER.CUAT.MS.FE.ZS,,,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,MastersDegreeOrHigher,age,Years25Onwards,gender,Female,Count_Person_25OrMoreYears_Female,,100,,
SE.TER.CUAT.MS.MA.ZS,,,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,MastersDegreeOrHigher,age,Years25Onwards,gender,Male,Count_Person_25OrMoreYears_Male,,100,,
SE.TER.CUAT.MS.ZS,,,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed Master's or equivalent.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,MastersDegreeOrHigher,age,Years25Onwards,,,Count_Person_25OrMoreYears,,100,,
SE.TER.CUAT.ST.FE.ZS,,,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,TertiaryEducation,age,Years25Onwards,gender,Female,Count_Person_25OrMoreYears_Female,,100,,
SE.TER.CUAT.ST.MA.ZS,,,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,TertiaryEducation,age,Years25Onwards,gender,Male,Count_Person_25OrMoreYears_Male,,100,,
SE.TER.CUAT.ST.ZS,,,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",The percentage of population ages 25 and over that attained or completed short-cycle tertiary education.,UNESCO Institute for Statistics (http://uis.unesco.org/),Person,measuredValue,count,educationalAttainment,TertiaryEducation,age,Years25Onwards,,,Count_Person_25OrMoreYears,,100,,
SH.STA.OWGH.FE.ZS,,,"Prevalence of overweight, weight for height, female (% of children under 5)","Prevalence of overweight, female, is the percentage of girls under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.","UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Person,measuredValue,count,healthBehavior,Overweight,age,YearsUpto4,gender,Female,Count_Person_Upto4Years_Female,,100,,
SH.STA.OWGH.MA.ZS,,,"Prevalence of overweight, weight for height, male (% of children under 5)","Prevalence of overweight, male, is the percentage of boys under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.","UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Person,measuredValue,count,healthBehavior,Overweight,age,YearsUpto4,gender,Male,Count_Person_Upto4Years_Male,,100,,
SH.STA.OWGH.ZS,,,"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of overweight children is the percentage of children under age 5 whose weight for height is more than two standard deviations above the median for the international reference population of the corresponding age as established by the WHO's new child growth standards released in 2006.,"UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Person,measuredValue,count,healthBehavior,Overweight,age,YearsUpto4,,,Count_Person_Upto4Years,,100,,
SH.STA.SUIC.FE.P5,,,"Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted).","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",MortalityEvent,measuredValue,count,causeOfDeath,ICD10/X60-X84,gender,Female,,,Count_Person_Female,,,,Per100000Females
SH.STA.SUIC.MA.P5,,,"Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate is the number of suicide deaths in a year per 100,000 population. Crude suicide rate (not age-adjusted).","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",MortalityEvent,measuredValue,count,causeOfDeath,ICD10/X60-X84,gender,Male,,,Count_Person_Male,,,,Per100000Males
