SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,53,001,Washington,Adams County,1,0,357,183,174,173,167,1,0,2,2,3,1,0,0,4,4,42,50,38,46,0,0,0,0,2,1,0,0,2,3,141,124,135,121,1,0,2,2,1,0,0,0,2,1
050,53,001,Washington,Adams County,1,1,1205,607,598,583,571,4,5,5,3,4,8,3,0,8,11,232,207,226,194,0,0,0,0,0,5,0,0,6,8,375,391,357,377,4,5,5,3,4,3,3,0,2,3
050,53,001,Washington,Adams County,1,2,1612,850,762,820,736,8,2,7,9,6,7,0,2,9,6,332,274,315,268,2,0,3,1,5,3,0,0,7,2,518,488,505,468,6,2,4,8,1,4,0,2,2,4
050,53,001,Washington,Adams County,1,3,1489,781,708,756,685,5,3,5,8,6,4,3,1,6,7,370,303,361,292,0,2,1,1,2,1,1,0,5,7,411,405,395,393,5,1,4,7,4,3,2,1,1,0
050,53,001,Washington,Adams County,1,4,1495,806,689,779,665,5,0,7,14,2,3,3,2,10,5,371,310,357,304,2,0,4,0,0,2,0,0,8,4,435,379,422,361,3,0,3,14,2,1,3,2,2,1
050,53,001,Washington,Adams County,1,5,1072,562,510,542,490,2,3,5,6,7,7,1,1,5,3,153,156,144,145,0,1,2,2,4,5,0,1,3,2,409,354,398,345,2,2,3,4,3,2,1,0,2,1
050,53,001,Washington,Adams County,1,6,1081,558,523,532,513,3,0,14,3,3,2,0,0,6,5,180,203,172,198,1,0,2,1,3,1,0,0,2,3,378,320,360,315,2,0,12,2,0,1,0,0,4,2
050,53,001,Washington,Adams County,1,7,1086,573,513,556,495,1,4,5,6,5,2,0,0,6,6,249,226,236,215,0,0,3,4,5,2,0,0,5,5,324,287,320,280,1,4,2,2,0,0,0,0,1,1
050,53,001,Washington,Adams County,1,8,1092,576,516,560,502,1,0,6,3,3,6,2,2,4,3,291,271,285,263,0,0,2,0,1,5,0,0,3,3,285,245,275,239,1,0,4,3,2,1,2,2,1,0
050,53,001,Washington,Adams County,1,9,1056,522,534,508,522,2,1,6,5,2,2,1,0,3,4,312,344,304,336,1,0,2,2,2,2,0,0,3,4,210,190,204,186,1,1,4,3,0,0,1,0,0,0
