SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,15,001,Hawaii,Hawaii County,1,0,1727,884,843,132,141,4,4,8,3,127,114,135,121,478,460,679,663,104,118,2,3,4,2,113,102,108,107,348,331,205,180,28,23,2,1,4,1,14,12,27,14,130,129
050,15,001,Hawaii,Hawaii County,1,1,7403,3900,3503,702,626,26,14,15,13,594,514,590,535,1973,1801,3172,2828,568,498,20,11,10,7,555,477,512,464,1507,1371,728,675,134,128,6,3,5,6,39,37,78,71,466,430
050,15,001,Hawaii,Hawaii County,1,2,11032,5850,5182,1210,1067,37,22,25,12,950,848,889,745,2739,2488,4914,4327,1014,900,29,19,20,8,886,793,797,651,2168,1956,936,855,196,167,8,3,5,4,64,55,92,94,571,532
050,15,001,Hawaii,Hawaii County,1,3,11567,5924,5643,1425,1249,31,33,17,30,1075,1022,854,792,2522,2517,5054,4876,1219,1074,24,23,11,21,999,956,769,722,2032,2080,870,767,206,175,7,10,6,9,76,66,85,70,490,437
050,15,001,Hawaii,Hawaii County,1,4,11087,5722,5365,1407,1313,31,28,31,28,1110,1048,818,760,2325,2188,5024,4608,1229,1131,26,17,24,15,1050,980,740,698,1955,1767,698,757,178,182,5,11,7,13,60,68,78,62,370,421
050,15,001,Hawaii,Hawaii County,1,5,8231,4139,4092,1033,986,32,16,20,17,911,856,672,647,1471,1570,3600,3514,863,828,24,8,16,12,852,781,614,590,1231,1295,539,578,170,158,8,8,4,5,59,75,58,57,240,275
050,15,001,Hawaii,Hawaii County,1,6,7778,3879,3899,1059,1075,19,21,19,18,876,923,601,573,1305,1289,3398,3410,879,916,16,18,13,13,817,864,552,518,1121,1081,481,489,180,159,3,3,6,5,59,59,49,55,184,208
050,15,001,Hawaii,Hawaii County,1,7,8269,4095,4174,1349,1224,34,17,21,20,994,1159,582,556,1115,1198,3679,3714,1190,1063,29,11,14,14,941,1073,541,513,964,1040,416,460,159,161,5,6,7,6,53,86,41,43,151,158
050,15,001,Hawaii,Hawaii County,1,8,10430,5022,5408,1809,1885,34,18,31,36,1356,1493,599,658,1193,1318,4605,4920,1629,1720,31,14,19,27,1295,1427,570,611,1061,1121,417,488,180,165,3,4,12,9,61,66,29,47,132,197
050,15,001,Hawaii,Hawaii County,1,9,12406,6099,6307,2304,2498,40,23,42,55,1766,1761,700,699,1247,1271,5650,5799,2116,2304,37,19,28,32,1691,1695,673,658,1105,1091,449,508,188,194,3,4,14,23,75,66,27,41,142,180
050,15,001,Hawaii,Hawaii County,1,10,13209,6618,6591,3055,2996,64,21,37,39,1783,1827,605,613,1074,1095,6285,6199,2905,2819,59,14,26,32,1721,1753,576,591,998,990,333,392,150,177,5,7,11,7,62,74,29,22,76,105
050,15,001,Hawaii,Hawaii County,1,11,11235,5913,5322,2929,2533,47,18,31,35,1504,1516,492,434,910,786,5623,5046,2781,2405,46,15,25,27,1454,1472,479,407,838,720,290,276,148,128,1,3,6,8,50,44,13,27,72,66
050,15,001,Hawaii,Hawaii County,1,12,8156,4150,4006,1979,1791,24,15,21,15,1190,1223,365,376,571,586,3968,3827,1884,1707,20,12,14,13,1156,1189,354,370,540,536,182,179,95,84,4,3,7,2,34,34,11,6,31,50
050,15,001,Hawaii,Hawaii County,1,13,6001,2981,3020,1375,1196,16,13,8,8,977,1120,244,263,361,420,2849,2852,1298,1108,15,12,8,5,954,1084,237,257,337,386,132,168,77,88,1,1,0,3,23,36,7,6,24,34
050,15,001,Hawaii,Hawaii County,1,14,5518,2584,2934,1151,1053,9,6,6,9,935,1262,213,243,270,361,2456,2796,1070,986,6,4,5,4,913,1234,206,238,256,330,128,138,81,67,3,2,1,5,22,28,7,5,14,31
050,15,001,Hawaii,Hawaii County,1,15,5397,2564,2833,1025,988,12,5,12,5,1150,1373,140,198,225,264,2466,2757,959,941,11,5,11,3,1133,1359,140,197,212,252,98,76,66,47,1,0,1,2,17,14,0,1,13,12
050,15,001,Hawaii,Hawaii County,1,16,4326,1995,2331,731,813,6,4,7,5,1026,1221,80,135,145,153,1932,2271,698,775,6,4,2,3,1011,1206,80,133,135,150,63,60,33,38,0,0,5,2,15,15,0,2,10,3
050,15,001,Hawaii,Hawaii County,1,17,2737,1241,1496,438,529,1,1,1,4,680,806,59,72,62,84,1219,1463,422,509,0,1,0,2,679,801,59,72,59,78,22,33,16,20,1,0,1,2,1,5,0,0,3,6
050,15,001,Hawaii,Hawaii County,1,18,2132,920,1212,249,418,3,2,1,0,603,675,24,53,40,64,902,1190,239,406,2,2,1,0,597,671,24,52,39,59,18,22,10,12,1,0,0,0,6,4,0,1,1,5
050,15,001,Hawaii,Hawaii County,1,99,148641,74480,74161,25362,24381,470,281,353,352,19607,20761,8662,8473,20026,19913,67475,67060,23067,22208,403,212,251,240,18817,19917,8031,7849,16906,16634,7005,7101,2295,2173,67,69,102,112,790,844,631,624,3120,3279
050,15,001,Hawaii,Hawaii County,2,0,1743,894,849,132,141,4,4,8,3,130,116,139,127,481,458,688,670,103,117,2,3,4,2,116,104,112,112,351,332,206,179,29,24,2,1,4,1,14,12,27,15,130,126
050,15,001,Hawaii,Hawaii County,2,1,7394,3888,3506,691,617,26,14,15,13,589,510,587,533,1980,1819,3160,2834,558,490,20,11,10,7,551,474,510,463,1511,1389,728,672,133,127,6,3,5,6,38,36,77,70,469,430
050,15,001,Hawaii,Hawaii County,2,2,11014,5845,5169,1189,1049,36,22,25,12,938,841,887,741,2770,2504,4889,4315,995,883,28,19,20,8,874,787,796,650,2176,1968,956,854,194,166,8,3,5,4,64,54,91,91,594,536
050,15,001,Hawaii,Hawaii County,2,3,11616,5956,5660,1413,1242,31,33,17,30,1076,1021,862,799,2557,2535,5078,4886,1208,1066,24,23,11,21,1000,955,776,728,2059,2093,878,774,205,176,7,10,6,9,76,66,86,71,498,442
050,15,001,Hawaii,Hawaii County,2,4,11161,5763,5398,1397,1306,31,28,31,28,1110,1043,809,759,2385,2234,5049,4640,1217,1125,26,17,24,15,1050,976,732,698,2000,1809,714,758,180,181,5,11,7,13,60,67,77,61,385,425
050,15,001,Hawaii,Hawaii County,2,5,8430,4266,4164,1092,991,32,16,21,17,911,857,682,653,1528,1630,3704,3557,911,831,24,8,17,12,852,782,624,595,1276,1329,562,607,181,160,8,8,4,5,59,75,58,58,252,301
050,15,001,Hawaii,Hawaii County,2,6,7728,3849,3879,1041,1056,19,21,19,18,870,919,603,572,1297,1293,3368,3396,862,897,16,18,13,13,811,859,553,517,1113,1092,481,483,179,159,3,3,6,5,59,60,50,55,184,201
050,15,001,Hawaii,Hawaii County,2,7,8255,4092,4163,1337,1210,34,17,21,20,999,1163,587,561,1114,1192,3672,3703,1178,1049,29,11,14,14,946,1076,545,518,960,1035,420,460,159,161,5,6,7,6,53,87,42,43,154,157
050,15,001,Hawaii,Hawaii County,2,8,10394,5012,5382,1802,1866,34,18,31,36,1363,1493,598,654,1184,1315,4591,4889,1622,1701,31,14,19,27,1302,1427,569,608,1048,1112,421,493,180,165,3,4,12,9,61,66,29,46,136,203
