SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,09,001,Connecticut,Fairfield County,1,0,12372,6381,5991,5143,4760,826,780,23,18,242,258,7,5,140,170,5334,4973,4235,3896,737,673,10,9,235,253,1,3,116,139,1047,1018,908,864,89,107,13,9,7,5,6,2,24,31
050,09,001,Connecticut,Fairfield County,1,1,51635,26502,25133,21369,20071,3396,3259,87,74,1003,1110,24,26,623,593,22461,21289,17855,16775,3046,2874,42,41,980,1091,16,7,522,501,4041,3844,3514,3296,350,385,45,33,23,19,8,19,101,92
050,09,001,Connecticut,Fairfield County,1,2,67209,34481,32728,27983,26252,4605,4541,91,89,1140,1162,27,35,635,649,29490,27948,23638,22126,4142,4073,42,50,1113,1141,10,11,545,547,4991,4780,4345,4126,463,468,49,39,27,21,17,24,90,102
050,09,001,Connecticut,Fairfield County,1,3,62287,31889,30398,25862,24375,4401,4391,86,85,1011,1001,27,23,502,523,27297,26007,21795,20506,4026,4034,48,43,989,981,11,11,428,432,4592,4391,4067,3869,375,357,38,42,22,20,16,12,74,91
050,09,001,Connecticut,Fairfield County,1,4,51079,26301,24778,20850,19632,3964,3798,95,72,986,911,30,19,376,346,21601,20741,16607,16004,3670,3527,43,35,963,887,14,7,304,281,4700,4037,4243,3628,294,271,52,37,23,24,16,12,72,65
050,09,001,Connecticut,Fairfield County,1,5,42986,21747,21239,17402,16438,3007,3435,93,84,942,943,29,28,274,311,16304,16737,12377,12402,2754,3112,35,41,927,923,14,16,197,243,5443,4502,5025,4036,253,323,58,43,15,20,15,12,77,68
050,09,001,Connecticut,Fairfield County,1,6,51423,25351,26072,20366,20246,2960,3848,110,77,1638,1588,24,34,253,279,19938,21296,15375,15957,2695,3490,39,38,1628,1575,8,20,193,216,5413,4776,4991,4289,265,358,71,39,10,13,16,14,60,63
050,09,001,Connecticut,Fairfield County,1,7,66655,32291,34364,27130,28079,3168,4275,92,88,1631,1624,28,23,242,275,26987,29319,22220,23499,2918,3943,47,47,1613,1603,12,8,177,219,5304,5045,4910,4580,250,332,45,41,18,21,16,15,65,56
050,09,001,Connecticut,Fairfield County,1,8,78463,37926,40537,32580,33966,3511,4572,101,103,1480,1556,20,29,234,311,33107,35684,28137,29517,3263,4314,48,50,1466,1541,6,10,187,252,4819,4853,4443,4449,248,258,53,53,14,15,14,19,47,59
050,09,001,Connecticut,Fairfield County,1,9,76010,37103,38907,32326,33149,3141,4077,93,80,1258,1329,26,15,259,257,33331,35093,28848,29649,2962,3875,47,44,1249,1311,17,10,208,204,3772,3814,3478,3500,179,202,46,36,9,18,9,5,51,53
050,09,001,Connecticut,Fairfield County,1,10,65003,31772,33231,27920,28747,2588,3093,62,63,997,1116,25,18,180,194,29073,30395,25455,26147,2433,2938,32,42,984,1098,14,7,155,163,2699,2836,2465,2600,155,155,30,21,13,18,11,11,25,31
