SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,44,001,Rhode Island,Bristol County,1,0,514,280,234,269,226,1,1,1,0,2,0,0,0,7,7,274,233,263,225,1,1,1,0,2,0,0,0,7,7,6,1,6,1,0,0,0,0,0,0,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,1,2215,1113,1102,1066,1053,10,12,3,5,13,16,0,0,21,16,1089,1076,1045,1031,9,9,3,5,13,16,0,0,19,15,24,26,21,22,1,3,0,0,0,0,0,0,2,1
050,44,001,Rhode Island,Bristol County,1,2,3362,1749,1613,1675,1536,19,19,4,1,27,23,1,3,23,31,1724,1593,1652,1518,18,19,4,1,27,23,0,2,23,30,25,20,23,18,1,0,0,0,0,0,1,1,0,1
050,44,001,Rhode Island,Bristol County,1,3,3504,1830,1674,1768,1627,22,13,3,2,16,16,2,1,19,15,1804,1648,1746,1603,22,12,3,2,14,15,2,1,17,15,26,26,22,24,0,1,0,0,2,1,0,0,2,0
050,44,001,Rhode Island,Bristol County,1,4,3963,1959,2004,1886,1910,17,32,8,4,27,31,0,2,21,25,1922,1962,1855,1877,14,26,7,3,27,30,0,2,19,24,37,42,31,33,3,6,1,1,0,1,0,0,2,1
050,44,001,Rhode Island,Bristol County,1,5,2869,1524,1345,1443,1286,31,17,10,6,22,19,0,0,18,17,1481,1321,1407,1267,28,14,9,5,22,19,0,0,15,16,43,24,36,19,3,3,1,1,0,0,0,0,3,1
050,44,001,Rhode Island,Bristol County,1,6,2471,1203,1268,1156,1228,15,17,2,2,21,14,1,1,8,6,1182,1249,1138,1214,13,14,1,2,21,13,1,0,8,6,21,19,18,14,2,3,1,0,0,1,0,1,0,0
050,44,001,Rhode Island,Bristol County,1,7,2962,1475,1487,1437,1436,14,11,4,4,13,21,0,2,7,13,1456,1469,1419,1420,13,10,4,3,13,21,0,2,7,13,19,18,18,16,1,1,0,1,0,0,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,8,4069,1904,2165,1841,2125,20,14,5,1,25,14,3,0,10,11,1881,2140,1822,2103,20,12,2,1,25,13,3,0,9,11,23,25,19,22,0,2,3,0,0,1,0,0,1,0
050,44,001,Rhode Island,Bristol County,1,9,4389,2132,2257,2083,2205,18,3,4,6,23,34,0,0,4,9,2110,2237,2064,2187,15,3,4,5,23,33,0,0,4,9,22,20,19,18,3,0,0,1,0,1,0,0,0,0
