SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE
050,23,001,Maine,Androscoggin County,1,0,1239,639,600,608,568,3,7,2,0,4,2,0,0,22,23,623,591,597,561,2,5,2,0,3,2,0,0,19,23,16,9,11,7,1,2,0,0,1,0,0,0,3,0
050,23,001,Maine,Androscoggin County,1,1,4885,2491,2394,2358,2283,40,25,7,9,9,18,3,1,74,58,2438,2355,2311,2246,37,23,7,9,8,18,3,1,72,58,53,39,47,37,3,2,0,0,1,0,0,0,2,0
050,23,001,Maine,Androscoggin County,1,2,6897,3570,3327,3417,3177,46,52,9,13,18,17,0,2,80,66,3512,3275,3373,3135,41,46,7,12,18,16,0,2,73,64,58,52,44,42,5,6,2,1,0,1,0,0,7,2
050,23,001,Maine,Androscoggin County,1,3,7420,3813,3607,3646,3479,46,35,20,13,31,23,0,1,70,56,3773,3544,3608,3422,44,30,20,13,31,23,0,1,70,55,40,63,38,57,2,5,0,0,0,0,0,0,0,1
050,23,001,Maine,Androscoggin County,1,4,7463,3750,3713,3616,3556,37,42,11,11,34,35,3,4,49,65,3708,3669,3578,3520,35,39,11,11,34,35,2,3,48,61,42,44,38,36,2,3,0,0,0,0,1,1,1,4
050,23,001,Maine,Androscoggin County,1,5,6395,3183,3212,3040,3086,45,23,12,16,40,37,0,6,46,44,3124,3170,2985,3047,44,22,12,16,40,37,0,5,43,43,59,42,55,39,1,1,0,0,0,0,0,1,3,1
050,23,001,Maine,Androscoggin County,1,6,6263,3111,3152,3014,3076,40,16,13,11,12,20,1,2,31,27,3070,3114,2978,3039,38,16,13,11,10,20,1,2,30,26,41,38,36,37,2,0,0,0,2,0,0,0,1,1
050,23,001,Maine,Androscoggin County,1,7,7414,3640,3774,3555,3681,31,16,6,11,19,24,2,2,27,40,3597,3740,3517,3648,29,16,5,11,19,24,1,2,26,39,43,34,38,33,2,0,1,0,0,0,1,0,1,1
050,23,001,Maine,Androscoggin County,1,8,8738,4379,4359,4273,4271,36,22,21,13,24,24,1,1,24,28,4330,4315,4227,4229,34,20,21,13,24,24,1,1,23,28,49,44,46,42,2,2,0,0,0,0,0,0,1,0
050,23,001,Maine,Androscoggin County,1,9,8385,4220,4165,4122,4072,30,14,16,12,30,28,2,0,20,39,4185,4130,4089,4039,29,14,16,12,30,27,1,0,20,38,35,35,33,33,1,0,0,0,0,1,1,0,0,1
050,23,001,Maine,Androscoggin County,1,10,7546,3746,3800,3669,3747,27,9,14,9,16,16,1,4,19,15,3722,3778,3647,3725,25,9,14,9,16,16,1,4,19,15,24,22,22,22,2,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,11,6859,3423,3436,3360,3377,21,7,9,7,14,25,3,2,16,18,3405,3420,3345,3363,20,7,8,7,14,25,3,2,15,16,18,16,15,14,1,0,1,0,0,0,0,0,1,2
050,23,001,Maine,Androscoggin County,1,12,5095,2522,2573,2493,2535,11,5,2,7,7,15,0,1,9,10,2513,2566,2485,2528,11,5,2,7,7,15,0,1,8,10,9,7,8,7,0,0,0,0,0,0,0,0,1,0
050,23,001,Maine,Androscoggin County,1,13,4242,2070,2172,2045,2142,5,3,2,6,9,9,0,0,9,12,2064,2163,2040,2133,5,3,2,6,8,9,0,0,9,12,6,9,5,9,0,0,0,0,1,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,14,3898,1770,2128,1756,2113,3,3,3,0,2,6,1,0,5,6,1764,2119,1750,2104,3,3,3,0,2,6,1,0,5,6,6,9,6,9,0,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,15,3473,1482,1991,1469,1973,3,1,0,2,4,6,0,0,6,9,1478,1985,1465,1967,3,1,0,2,4,6,0,0,6,9,4,6,4,6,0,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,16,3142,1244,1898,1233,1889,2,1,0,0,3,2,0,0,6,6,1237,1895,1226,1886,2,1,0,0,3,2,0,0,6,6,7,3,7,3,0,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,17,2268,777,1491,774,1480,0,2,0,1,0,2,0,0,3,6,777,1489,774,1478,0,2,0,1,0,2,0,0,3,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,18,2181,561,1620,558,1614,0,0,1,0,0,3,0,0,2,3,561,1619,558,1613,0,0,1,0,0,3,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,1,99,103803,50391,53412,49006,52119,426,283,148,141,276,312,17,26,518,531,49881,52937,48553,51683,402,262,144,140,271,310,14,24,497,518,510,475,453,436,24,21,4,1,5,2,3,2,21,13
050,23,001,Maine,Androscoggin County,2,0,1249,646,603,613,572,5,9,2,0,4,2,0,0,22,20,629,594,601,565,4,7,2,0,3,2,0,0,19,20,17,9,12,7,1,2,0,0,1,0,0,0,3,0
050,23,001,Maine,Androscoggin County,2,1,4872,2485,2387,2347,2273,41,28,7,9,9,18,3,1,78,58,2432,2348,2300,2236,38,26,7,9,8,18,3,1,76,58,53,39,47,37,3,2,0,0,1,0,0,0,2,0
050,23,001,Maine,Androscoggin County,2,2,6862,3550,3312,3399,3159,46,53,9,13,18,17,0,2,78,68,3492,3260,3355,3117,41,47,7,12,18,16,0,2,71,66,58,52,44,42,5,6,2,1,0,1,0,0,7,2
050,23,001,Maine,Androscoggin County,2,3,7440,3820,3620,3655,3490,46,39,20,13,31,23,0,1,68,54,3780,3557,3617,3433,44,34,20,13,31,23,0,1,68,53,40,63,38,57,2,5,0,0,0,0,0,0,0,1
050,23,001,Maine,Androscoggin County,2,4,7467,3756,3711,3625,3554,38,44,11,11,35,35,3,4,44,63,3715,3668,3588,3518,36,41,11,11,35,35,2,3,43,60,41,43,37,36,2,3,0,0,0,0,1,1,1,3
050,23,001,Maine,Androscoggin County,2,5,6446,3202,3244,3057,3112,45,27,12,16,40,37,0,6,48,46,3143,3201,3001,3073,44,25,12,16,40,37,0,5,46,45,59,43,56,39,1,2,0,0,0,0,0,1,2,1
050,23,001,Maine,Androscoggin County,2,6,6202,3077,3125,2980,3046,40,18,13,11,12,20,1,2,31,28,3037,3087,2945,3009,38,18,13,11,10,20,1,2,30,27,40,38,35,37,2,0,0,0,2,0,0,0,1,1
050,23,001,Maine,Androscoggin County,2,7,7397,3631,3766,3547,3672,32,16,6,11,19,24,2,2,25,41,3587,3732,3508,3639,30,16,5,11,19,24,1,2,24,40,44,34,39,33,2,0,1,0,0,0,1,0,1,1
050,23,001,Maine,Androscoggin County,2,8,8695,4359,4336,4254,4248,36,23,21,13,24,24,1,1,23,27,4310,4291,4208,4205,34,21,21,13,24,24,1,1,22,27,49,45,46,43,2,2,0,0,0,0,0,0,1,0
050,23,001,Maine,Androscoggin County,2,9,8393,4226,4167,4127,4077,30,14,16,12,30,28,2,0,21,36,4190,4132,4093,4044,29,14,16,12,30,27,1,0,21,35,36,35,34,33,1,0,0,0,0,1,1,0,0,1
050,23,001,Maine,Androscoggin County,2,10,7583,3766,3817,3688,3764,27,9,14,9,16,16,1,4,20,15,3742,3795,3666,3742,25,9,14,9,16,16,1,4,20,15,24,22,22,22,2,0,0,0,0,0,0,0,0,0
050,23,001,Maine,Androscoggin County,2,11,6924,3455,3469,3391,3409,21,7,9,7,14,25,3,2,17,19,3437,3453,3376,3395,20,7,8,7,14,25,3,2,16,17,18,16,15,14,1,0,1,0,0,0,0,0,1,2
050,23,001,Maine,Androscoggin County,2,12,5124,2537,2587,2508,2548,11,5,2,7,7,15,0,1,9,11,2528,2580,2500,2541,11,5,2,7,7,15,0,1,8,11,9,7,8,7,0,0,0,0,0,0,0,0,1,0
050,23,001,Maine,Androscoggin County,2,13,4264,2082,2182,2057,2151,5,3,2,6,9,9,0,0,9,13,2076,2173,2052,2142,5,3,2,6,8,9,0,0,9,13,6,9,5,9,0,0,0,0,1,0,0,0,0,0
050,23,001,Maine,Androscoggin County,2,14,3881,1764,2117,1750,2102,3,3,3,0,2,6,1,0,5,6,1758,2108,1744,2093,3,3,3,0,2,6,1,0,5,6,6,9,6,9,0,0,0,0,0,0,0,0,0,0
