sex,age,isced97,frequenc,unit,time\geo	BE 	BG 	CZ 	EL 	ES 	FR 	CY 	LV 	HU 	MT 	PL 	RO 	SI 	SK 	TR 
F,TOTAL,ED0-2,DAY,PC,2008	10.0 u	2.3 	4.0 	4.0 	7.2 	5.5 u	1.1 	0.6 	1.9 	2.8 	0.2 	0.6 	4.2 	0.8 	: 
F,TOTAL,ED0-2,MTH,PC,2008	42.9 u	34.5 	54.8 	32.3 	28.0 	49.4 u	36.7 	58.4 	25.4 	24.6 	41.5 	48.1 	44.6 	44.6 	: 
F,TOTAL,ED0-2,NVR,PC,2008	32.6 u	59.7 	36.0 	57.9 	60.1 	37.6 u	59.9 	39.5 	68.9 	67.1 	57.5 	48.4 	47.4 	52.9 	: 
F,TOTAL,ED0-2,WEEK,PC,2008	14.4 u	3.6 	5.3 	5.8 	4.8 	7.5 u	2.3 	1.5 	3.8 	5.5 	0.9 	3.0 	3.8 	1.7 	: 
F,TOTAL,ED3_4,DAY,PC,2008	9.7 	2.1 	3.2 	2.9 	5.7 	4.3 u	1.4 	0.2 	1.2 	1.9 	0.4 	0.1 	3.3 	1.0 	: 
F,TOTAL,ED3_4,MTH,PC,2008	46.1 	53.8 	66.7 	50.7 	49.7 	55.9 u	57.0 	77.2 	49.6 	49.1 	69.0 	61.0 	64.7 	71.0 	: 
F,TOTAL,ED3_4,NVR,PC,2008	23.6 	36.5 	20.8 	34.7 	35.4 	28.6 u	37.9 	20.5 	43.5 	38.2 	28.3 	36.9 	26.1 	25.0 	: 
F,TOTAL,ED3_4,WEEK,PC,2008	20.5 	7.7 	9.4 	11.8 	9.3 	11.2 u	3.7 	2.1 	5.7 	10.8 	2.2 	2.0 	5.9 	3.0 	: 
F,TOTAL,ED5_6,DAY,PC,2008	6.8 	2.3 	4.4 	3.3 	5.3 	3.2 u	1.0 	0.3 	1.2 	3.4 	1.0 	0.2 	2.0 	0.6 	: 
F,TOTAL,ED5_6,MTH,PC,2008	51.6 	60.5 	52.1 	52.2 	51.6 	60.4 u	66.2 	81.6 	55.2 	56.5 	77.0 	68.7 	72.2 	77.8 	: 
F,TOTAL,ED5_6,NVR,PC,2008	13.3 	27.3 	14.8 	30.5 	29.1 	20.2 u	26.6 	14.6 	34.7 	26.2 	16.4 	29.3 	12.4 	16.7 	: 
F,TOTAL,ED5_6,WEEK,PC,2008	28.3 	10.0 	28.8 	14.1 	14.0 	16.2 u	6.2 	3.5 	8.9 	13.9 	5.7 	1.8 	13.4 	4.9 	: 
F,TOTAL,TOTAL,DAY,PC,2008	9.0 u	2.2 	3.4 	3.4 	6.4 	4.4 u	1.2 	0.3 	1.4 	2.4 	0.5 	0.3 	3.3 	0.9 	: 
F,TOTAL,TOTAL,MTH,PC,2008	46.8 u	49.2 	63.1 	42.9 	38.6 	54.7 u	51.8 	73.7 	43.4 	41.0 	64.5 	56.9 	60.1 	68.5 	: 
F,TOTAL,TOTAL,NVR,PC,2008	23.4 u	41.8 	22.7 	44.0 	47.0 	29.7 u	43.2 	23.6 	49.4 	47.3 	32.4 	40.5 	29.9 	27.4 	: 
F,TOTAL,TOTAL,WEEK,PC,2008	20.8 u	6.9 	10.8 	9.6 	8.0 	11.2 u	3.8 	2.3 	5.8 	9.2 	2.6 	2.3 	6.8 	3.2 	: 
F,Y18-44,ED0-2,DAY,PC,2008	2.7 u	2.9 	1.7 u	2.9 	3.8 	1.8 u	: 	1.3 	0.7 	2.9 u	0.5 	0.6 	: 	1.5 	: 
F,Y18-44,ED0-2,MTH,PC,2008	48.0 u	41.6 	74.3 u	45.8 	40.8 	52.6 u	47.0 	77.1 	36.9 	44.1 u	58.0 	51.9 	61.3 	56.7 	: 
F,Y18-44,ED0-2,NVR,PC,2008	40.2 u	52.0 	21.8 u	43.8 	49.3 	37.2 u	49.2 	19.9 	61.1 	44.1 u	39.7 	45.3 	35.6 	37.3 	: 
F,Y18-44,ED0-2,WEEK,PC,2008	9.2 u	3.5 	2.2 u	7.5 	6.1 	8.4 u	3.8 	1.7 	1.3 	8.8 u	1.9 	2.3 	3.1 	4.5 	: 
F,Y18-44,ED3_4,DAY,PC,2008	1.9 	1.8 	2.0 	2.8 	1.5 	2.0 u	0.8 	: 	0.4 	0.5 	0.4 	0.0 	0.7 	0.6 	: 
F,Y18-44,ED3_4,MTH,PC,2008	54.6 	55.2 	77.6 	53.5 	55.3 	56.9 u	58.3 	84.6 	54.5 	54.1 	74.0 	63.3 	70.8 	75.5 	: 
F,Y18-44,ED3_4,NVR,PC,2008	25.5 	34.9 	13.2 	30.8 	34.3 	33.0 u	37.8 	12.7 	40.2 	33.9 	22.8 	34.8 	24.0 	20.7 	: 
F,Y18-44,ED3_4,WEEK,PC,2008	18.1 	8.2 	7.2 	13.0 	8.9 	8.2 u	3.1 	2.8 	4.9 	11.5 	2.8 	1.9 	4.6 	3.2 	: 
F,Y18-44,ED5_6,DAY,PC,2008	3.3 	1.4 	1.2 	2.4 	1.9 	1.1 u	0.9 	0.5 	: 	2.3 	0.7 	: 	1.5 	0.3 	: 
F,Y18-44,ED5_6,MTH,PC,2008	57.0 	60.8 	56.8 	56.2 	56.9 	63.8 u	67.6 	85.9 	61.6 	60.7 	79.0 	70.0 	73.7 	78.9 	: 
F,Y18-44,ED5_6,NVR,PC,2008	14.2 	26.3 	12.7 	25.3 	27.9 	22.6 u	25.8 	9.7 	31.2 	23.6 	13.8 	28.1 	11.4 	14.8 	: 
F,Y18-44,ED5_6,WEEK,PC,2008	25.6 	11.5 	29.3 	16.1 	13.4 	12.5 u	5.8 	3.8 	7.2 	13.5 	6.5 	2.0 	13.4 	6.0 	: 
F,Y18-44,TOTAL,DAY,PC,2008	2.7 	2.0 	1.9 	2.7 	2.4 	1.6 u	0.7 	0.4 	0.3 	1.0 	0.5 	0.1 	0.9 	0.6 	: 
F,Y18-44,TOTAL,MTH,PC,2008	54.7 	53.9 	73.9 	53.0 	50.9 	59.0 u	60.0 	83.8 	53.9 	55.0 	74.0 	61.9 	70.4 	75.3 	: 
F,Y18-44,TOTAL,NVR,PC,2008	22.6 	36.1 	14.0 	31.4 	37.2 	29.5 u	35.1 	12.9 	40.8 	32.2 	21.8 	36.0 	21.9 	20.1 	: 
F,Y18-44,TOTAL,WEEK,PC,2008	20.0 	8.0 	10.3 	13.0 	9.5 	10.0 u	4.1 	2.9 	5.0 	11.8 	3.7 	2.0 	6.8 	4.0 	: 
F,Y45-54,ED0-2,DAY,PC,2008	8.5 u	2.0 	: 	2.9 	8.0 	2.1 u	0.9 	1.1 	2.4 	0.9 	0.3 	0.3 	: 	: 	: 
F,Y45-54,ED0-2,MTH,PC,2008	51.0 u	43.5 	: 	45.7 	33.5 	55.6 u	39.8 	88.1 	30.9 	29.7 	63.6 	58.3 	41.8 	62.0 u	: 
F,Y45-54,ED0-2,NVR,PC,2008	23.2 u	48.7 	: 	45.2 	51.8 	32.9 u	56.6 	9.9 	62.6 	63.6 	34.8 	38.8 	56.4 	38.0 u	: 
F,Y45-54,ED0-2,WEEK,PC,2008	17.3 u	5.8 	: 	6.2 	6.7 	9.4 u	2.7 	1.0 	4.1 	5.9 	1.4 	2.6 	1.8 	: 	: 
F,Y45-54,ED3_4,DAY,PC,2008	14.0 	3.5 	2.1 	1.8 	8.8 	2.4 u	1.5 	0.4 	0.7 	3.8 	0.4 	0.2 	1.2 	1.3 	: 
F,Y45-54,ED3_4,MTH,PC,2008	41.3 	60.9 	59.1 	46.7 	40.4 	56.0 u	57.1 	83.2 	50.2 	44.1 	74.1 	63.6 	58.9 	78.8 	: 
F,Y45-54,ED3_4,NVR,PC,2008	20.3 	26.9 	23.1 	42.0 	39.2 	24.4 u	37.8 	13.5 	42.5 	42.7 	23.0 	33.7 	32.5 	16.7 	: 
F,Y45-54,ED3_4,WEEK,PC,2008	24.4 	8.7 	15.7 	9.5 	11.5 	17.1 u	3.7 	2.9 	6.5 	9.5 	2.4 	2.6 	7.4 	3.2 	: 
F,Y45-54,ED5_6,DAY,PC,2008	11.3 	5.3 	: 	6.0 	8.3 	5.1 u	1.6 	: 	: 	6.9 u	0.9 	: 	: 	: 	: 
F,Y45-54,ED5_6,MTH,PC,2008	42.5 	59.4 	: 	46.1 	44.4 	57.3 u	63.1 	81.9 	55.4 	55.2 u	80.8 	73.6 	72.1 u	79.2 	: 
F,Y45-54,ED5_6,NVR,PC,2008	9.1 	21.5 	: 	34.4 	28.2 	15.2 u	27.6 	12.5 	34.6 	27.6 u	14.0 	25.3 	15.2 u	15.6 	: 
F,Y45-54,ED5_6,WEEK,PC,2008	37.1 	13.8 	: 	13.5 	19.1 	22.5 u	7.8 	5.6 	10.0 	10.3 u	4.3 	1.1 	12.7 u	5.2 	: 
F,Y45-54,TOTAL,DAY,PC,2008	11.4 	3.7 	4.5 	3.2 	8.3 	3.0 u	1.3 	0.3 	1.0 	3.1 	0.5 	0.2 	0.6 	1.0 	: 
F,Y45-54,TOTAL,MTH,PC,2008	45.1 	57.3 	59.1 	46.3 	37.8 	56.2 u	52.3 	83.4 	47.0 	40.1 	74.3 	63.1 	57.6 	77.6 	: 
F,Y45-54,TOTAL,NVR,PC,2008	17.5 	29.7 	22.0 	41.5 	43.1 	24.9 u	42.2 	12.8 	45.4 	48.5 	22.6 	34.3 	34.6 	18.1 	: 
F,Y45-54,TOTAL,WEEK,PC,2008	26.0 	9.4 	14.4 	9.0 	10.8 	15.9 u	4.2 	3.5 	6.7 	8.4 	2.7 	2.5 	7.2 	3.3 	: 
F,Y55-64,ED0-2,DAY,PC,2008	14.4 	2.3 	1.8 u	3.9 	8.4 	4.8 u	1.1 	: 	0.7 	3.5 	0.0 	1.0 	6.3 	: 	: 
F,Y55-64,ED0-2,MTH,PC,2008	37.0 	30.7 	56.1 u	35.8 	26.1 	52.0 u	39.6 	64.8 	32.8 	25.2 	51.8 	52.7 	42.0 	42.0 u	: 
F,Y55-64,ED0-2,NVR,PC,2008	23.4 	63.6 	31.9 u	55.4 	60.3 	33.7 u	57.5 	30.8 	60.7 	64.4 	47.6 	42.0 	45.3 	54.5 u	: 
F,Y55-64,ED0-2,WEEK,PC,2008	25.2 	3.4 	10.2 u	5.0 	5.1 	9.6 u	1.8 	4.4 	5.8 	7.0 	0.5 	4.3 	6.4 	3.6 u	: 
F,Y55-64,ED3_4,DAY,PC,2008	18.8 	2.1 	7.3 	3.9 	15.3 	8.0 u	2.3 	: 	2.1 	3.0 	0.7 	0.1 	8.1 	1.7 	: 
F,Y55-64,ED3_4,MTH,PC,2008	40.2 	48.2 	55.7 	47.4 	43.0 	54.6 u	55.8 	80.0 	48.0 	38.4 	64.0 	55.2 	59.8 	64.9 	: 
F,Y55-64,ED3_4,NVR,PC,2008	16.0 	41.1 	24.0 	38.7 	32.8 	23.1 u	35.0 	19.2 	44.5 	48.5 	34.0 	42.8 	20.5 	29.7 	: 
F,Y55-64,ED3_4,WEEK,PC,2008	25.0 	8.6 	13.1 	10.1 	8.9 	14.2 u	6.9 	0.8 	5.5 	10.1 	1.3 	1.9 	11.7 	3.6 	: 
F,Y55-64,ED5_6,DAY,PC,2008	13.4 	1.8 	: 	3.7 	18.3 	7.9 u	: 	: 	1.3 	5.0 u	1.8 	: 	9.6 u	1.8 	: 
