GeoId,CACountyName,CALicensedHealthcareFacilityBedFACID,CALicensedHealthcareFacilityName,CALicensedHealthcareFacilityType,CALicensedHealthcareFacilityBedType,CALicensedHealthcareFacilityBedCapacity
geoId/06097,SONOMA,ELMS/010000001,VINEYARD POST ACUTE,SkilledNursingFacility,SKILLED NURSING,99
geoId/06097,SONOMA,ELMS/010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SkilledNursingFacility,SPECIAL TREATMENT PROGRAM,58
geoId/06097,SONOMA,ELMS/010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SkilledNursingFacility,SKILLED NURSING,123
geoId/06015,DEL NORTE,ELMS/010000004,CRESCENT CITY SKILLED NURSING,SkilledNursingFacility,SKILLED NURSING,99
geoId/06097,SONOMA,ELMS/010000005,WINDSOR CARE CENTER OF PETALUMA,SkilledNursingFacility,SKILLED NURSING,79
geoId/06097,SONOMA,ELMS/010000022,FRIENDS HOUSE,SkilledNursingFacility,SKILLED NURSING,34
geoId/06023,HUMBOLDT,ELMS/010000024,"GRANADA REHAB & WELLNESS CENTER, LP",SkilledNursingFacility,SKILLED NURSING,87
geoId/06097,SONOMA,ELMS/010000026,APPLE VALLEY POST-ACUTE REHAB,SkilledNursingFacility,SKILLED NURSING,95
geoId/06097,SONOMA,ELMS/010000028,EMPRES POST ACUTE REHABILITATION,SkilledNursingFacility,SKILLED NURSING,98
geoId/06097,SONOMA,ELMS/010000029,HEALDSBURG SENIOR LIVING COMMUNITY,SkilledNursingFacility,SKILLED NURSING,38
geoId/06097,SONOMA,ELMS/010000033,SANTA ROSA POST ACUTE,SkilledNursingFacility,SKILLED NURSING,99
geoId/06097,SONOMA,ELMS/010000034,SONOMA POST ACUTE,SkilledNursingFacility,SKILLED NURSING,83
geoId/06097,SONOMA,ELMS/010000037,CLOVERDALE HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,72
geoId/06097,SONOMA,ELMS/010000043,PARK VIEW POST ACUTE,SkilledNursingFacility,SKILLED NURSING,116
geoId/06045,MENDOCINO,ELMS/010000047,NORTHBROOK HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,70
geoId/06097,SONOMA,ELMS/010000052,PETALUMA POST-ACUTE REHAB,SkilledNursingFacility,SKILLED NURSING,90
geoId/06097,SONOMA,ELMS/010000059,SONOMA POSTACUTE CARE,SkilledNursingFacility,SKILLED NURSING,62
geoId/06023,HUMBOLDT,ELMS/010000060,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SkilledNursingFacility,SKILLED NURSING,99
geoId/06045,MENDOCINO,ELMS/010000062,SHERWOOD OAKS HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,79
geoId/06097,SONOMA,ELMS/010000066,BROADWAY VILLA POST ACUTE,SkilledNursingFacility,SKILLED NURSING,144
geoId/06023,HUMBOLDT,ELMS/010000075,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SkilledNursingFacility,SKILLED NURSING,104
geoId/06097,SONOMA,ELMS/010000076,SUMMERFIELD HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,70
geoId/06023,HUMBOLDT,ELMS/010000078,"EUREKA REHAB & WELLNESS CENTER, LP",SkilledNursingFacility,SKILLED NURSING,99
geoId/06097,SONOMA,ELMS/010000079,HILLCREST POST ACUTE,SkilledNursingFacility,SKILLED NURSING,59
geoId/06045,MENDOCINO,ELMS/010000080,UKIAH POST ACUTE,SkilledNursingFacility,SKILLED NURSING,54
geoId/06045,MENDOCINO,ELMS/010000082,REDWOOD COVE HEALTHCARE CENTER,SkilledNursingFacility,SKILLED NURSING,68
geoId/06055,NAPA,ELMS/010000086,BAYBERRY HOUSE,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06023,HUMBOLDT,ELMS/010000087,BUTLER VALLEY,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06023,HUMBOLDT,ELMS/010000088,BUTLER VALLEY #2,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000160,MILESTONES OF DEVELOPMENT #1,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000161,MILESTONES OF DEVELOPMENT #2,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
geoId/06095,SOLANO,ELMS/010000162,MILESTONES OF DEVELOPMENT #3,IntermediateCareFacility,INTERMEDIATE CARE/DD HABILITATIVE,6
