observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,1981,dcid:Annual_Amount_EconomicActivity_Agriculture,17052180000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1982,dcid:Annual_Amount_EconomicActivity_Agriculture,20125920000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1983,dcid:Annual_Amount_EconomicActivity_Agriculture,23797820000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1984,dcid:Annual_Amount_EconomicActivity_Agriculture,30365180000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1985,dcid:Annual_Amount_EconomicActivity_Agriculture,34237090000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1986,dcid:Annual_Amount_EconomicActivity_Agriculture,35702640000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1987,dcid:Annual_Amount_EconomicActivity_Agriculture,50286940000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1988,dcid:Annual_Amount_EconomicActivity_Agriculture,73764510000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1989,dcid:Annual_Amount_EconomicActivity_Agriculture,88264130000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1990,dcid:Annual_Amount_EconomicActivity_Agriculture,106626690000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1991,dcid:Annual_Amount_EconomicActivity_Agriculture,123235650000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1992,dcid:Annual_Amount_EconomicActivity_Agriculture,184115650000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1993,dcid:Annual_Amount_EconomicActivity_Agriculture,295324590000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1994,dcid:Annual_Amount_EconomicActivity_Agriculture,445272890000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1995,dcid:Annual_Amount_EconomicActivity_Agriculture,790141620000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1996,dcid:Annual_Amount_EconomicActivity_Agriculture,1070514730000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1997,dcid:Annual_Amount_EconomicActivity_Agriculture,1211461960000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1998,dcid:Annual_Amount_EconomicActivity_Agriculture,1341040900000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,1999,dcid:Annual_Amount_EconomicActivity_Agriculture,1426973810000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2000,dcid:Annual_Amount_EconomicActivity_Agriculture,1508408790000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2001,dcid:Annual_Amount_EconomicActivity_Agriculture,2015421530000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2002,dcid:Annual_Amount_EconomicActivity_Agriculture,4251520650000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2003,dcid:Annual_Amount_EconomicActivity_Agriculture,4585925700000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2004,dcid:Annual_Amount_EconomicActivity_Agriculture,4935263750000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2005,dcid:Annual_Amount_EconomicActivity_Agriculture,6032332410000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2006,dcid:Annual_Amount_EconomicActivity_Agriculture,7513297800000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2007,dcid:Annual_Amount_EconomicActivity_Agriculture,8551981400000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2008,dcid:Annual_Amount_EconomicActivity_Agriculture,10100325190000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2009,dcid:Annual_Amount_EconomicActivity_Agriculture,11625442330000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2010,dcid:Annual_Amount_EconomicActivity_Agriculture,13048892800000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2011,dcid:Annual_Amount_EconomicActivity_Agriculture,14037825840000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2012,dcid:Annual_Amount_EconomicActivity_Agriculture,15815997510000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2013,dcid:Annual_Amount_EconomicActivity_Agriculture,16816553010000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2014,dcid:Annual_Amount_EconomicActivity_Agriculture,18018612870000,NGN,,P1Y,CurrentBasicPrices1960To2017
country/NGA,2015,dcid:Annual_Amount_EconomicActivity_Agriculture,19636969040000,NGN,,P1Y,CurrentBasicPrices1960To2017
