Date,Location,CumulativeCount_MedicalConditionIncident_COVID_19_PositiveCase
2020-02-24,nuts/ITF11,0
2020-02-24,nuts/ITF12,0
2020-02-24,nuts/ITF13,0
2020-02-24,nuts/ITF14,0
2020-02-24,nuts/ITF51,0
2020-02-24,nuts/ITF52,0
2020-02-24,nuts/ITF61,0
2020-02-24,nuts/ITF63,0
2020-02-24,nuts/ITF65,0
2020-02-24,nuts/ITF62,0
2020-02-24,nuts/ITF64,0
2020-02-24,nuts/ITF31,0
2020-02-24,nuts/ITF32,0
2020-02-24,nuts/ITF33,0
2020-02-24,nuts/ITF34,0
2020-02-24,nuts/ITF35,0
2020-02-24,nuts/ITH51,0
2020-02-24,nuts/ITH52,0
2020-02-24,nuts/ITH53,0
2020-02-24,nuts/ITH54,0
2020-02-24,nuts/ITH55,0
2020-02-24,nuts/ITH56,0
2020-02-24,nuts/ITH57,0
2020-02-24,nuts/ITH58,0
2020-02-24,nuts/ITH59,0
2020-02-24,nuts/ITH42,0
2020-02-24,nuts/ITH43,0
2020-02-24,nuts/ITH44,0
2020-02-24,nuts/ITH41,0
2020-02-24,nuts/ITI41,0
2020-02-24,nuts/ITI42,0
2020-02-24,nuts/ITI43,0
2020-02-24,nuts/ITI44,0
2020-02-24,nuts/ITI45,0
2020-02-24,nuts/ITC31,0
2020-02-24,nuts/ITC32,0
2020-02-24,nuts/ITC33,0
2020-02-24,nuts/ITC34,0
2020-02-24,nuts/ITC41,0
2020-02-24,nuts/ITC42,0
2020-02-24,nuts/ITC44,0
2020-02-24,nuts/ITC4C,0
2020-02-24,nuts/ITC46,0
2020-02-24,nuts/ITC47,0
2020-02-24,nuts/ITC48,0
2020-02-24,nuts/ITC4A,0
2020-02-24,nuts/ITC4B,0
2020-02-24,nuts/ITC43,0
2020-02-24,nuts/ITC49,0
2020-02-24,nuts/ITC4D,0
2020-02-24,nuts/ITI31,0
2020-02-24,nuts/ITI32,0
2020-02-24,nuts/ITI33,0
2020-02-24,nuts/ITI34,0
2020-02-24,nuts/ITI35,0
2020-02-24,nuts/ITF22,0
2020-02-24,nuts/ITF21,0
2020-02-24,nuts/ITH10,0
2020-02-24,nuts/ITH20,0
2020-02-24,nuts/ITC11,0
2020-02-24,nuts/ITC12,0
2020-02-24,nuts/ITC15,0
2020-02-24,nuts/ITC16,0
2020-02-24,nuts/ITC17,0
2020-02-24,nuts/ITC18,0
2020-02-24,nuts/ITC13,0
2020-02-24,nuts/ITC14,0
2020-02-24,nuts/ITF46,0
2020-02-24,nuts/ITF47,0
2020-02-24,nuts/ITF43,0
2020-02-24,nuts/ITF44,0
2020-02-24,nuts/ITF45,0
2020-02-24,nuts/ITF48,0
2020-02-24,nuts/ITG25,0
2020-02-24,nuts/ITG26,0
2020-02-24,nuts/ITG27,0
2020-02-24,nuts/ITG28,0
2020-02-24,nuts/ITG11,0
2020-02-24,nuts/ITG12,0
2020-02-24,nuts/ITG13,0
2020-02-24,nuts/ITG14,0
2020-02-24,nuts/ITG15,0
2020-02-24,nuts/ITG16,0
2020-02-24,nuts/ITG17,0
2020-02-24,nuts/ITG18,0
2020-02-24,nuts/ITG19,0
2020-02-24,nuts/ITI11,0
2020-02-24,nuts/ITI12,0
2020-02-24,nuts/ITI13,0
2020-02-24,nuts/ITI14,0
2020-02-24,nuts/ITI16,0
2020-02-24,nuts/ITI17,0
2020-02-24,nuts/ITI18,0
2020-02-24,nuts/ITI19,0
2020-02-24,nuts/ITI1A,0
2020-02-24,nuts/ITI15,0
2020-02-24,nuts/ITI21,0
2020-02-24,nuts/ITI22,0
2020-02-24,nuts/ITC20,0
2020-02-24,nuts/ITH31,0
2020-02-24,nuts/ITH32,0
2020-02-24,nuts/ITH33,0
2020-02-24,nuts/ITH34,0
2020-02-24,nuts/ITH35,0
2020-02-24,nuts/ITH36,0
2020-02-24,nuts/ITH37,0
2020-02-25,nuts/ITF11,0
2020-02-25,nuts/ITF12,0
2020-02-25,nuts/ITF13,0
2020-02-25,nuts/ITF14,0
2020-02-25,nuts/ITF51,0
2020-02-25,nuts/ITF52,0
2020-02-25,nuts/ITF61,0
2020-02-25,nuts/ITF63,0
2020-02-25,nuts/ITF65,0
2020-02-25,nuts/ITF62,0
2020-02-25,nuts/ITF64,0
2020-02-25,nuts/ITF31,0
2020-02-25,nuts/ITF32,0
2020-02-25,nuts/ITF33,0
2020-02-25,nuts/ITF34,0
2020-02-25,nuts/ITF35,0
2020-02-25,nuts/ITH51,18
2020-02-25,nuts/ITH52,4
2020-02-25,nuts/ITH53,0
2020-02-25,nuts/ITH54,3
2020-02-25,nuts/ITH55,0
2020-02-25,nuts/ITH56,0
2020-02-25,nuts/ITH57,0
2020-02-25,nuts/ITH58,0
2020-02-25,nuts/ITH59,1
2020-02-25,nuts/ITH42,0
2020-02-25,nuts/ITH43,0
2020-02-25,nuts/ITH44,0
2020-02-25,nuts/ITH41,0
2020-02-25,nuts/ITI41,0
2020-02-25,nuts/ITI42,0
2020-02-25,nuts/ITI43,3
2020-02-25,nuts/ITI44,0
2020-02-25,nuts/ITI45,0
2020-02-25,nuts/ITC31,0
2020-02-25,nuts/ITC32,1
2020-02-25,nuts/ITC33,0
2020-02-25,nuts/ITC34,0
2020-02-25,nuts/ITC41,0
2020-02-25,nuts/ITC42,0
2020-02-25,nuts/ITC44,1
2020-02-25,nuts/ITC4C,8
2020-02-25,nuts/ITC46,18
2020-02-25,nuts/ITC47,0
2020-02-25,nuts/ITC48,27
2020-02-25,nuts/ITC4A,53
2020-02-25,nuts/ITC4B,0
2020-02-25,nuts/ITC43,0
2020-02-25,nuts/ITC49,125
2020-02-25,nuts/ITC4D,3
2020-02-25,nuts/ITI31,0
2020-02-25,nuts/ITI32,0
2020-02-25,nuts/ITI33,0
2020-02-25,nuts/ITI34,0
2020-02-25,nuts/ITI35,0
2020-02-25,nuts/ITF22,0
2020-02-25,nuts/ITF21,0
2020-02-25,nuts/ITH10,1
2020-02-25,nuts/ITH20,0
2020-02-25,nuts/ITC11,3
2020-02-25,nuts/ITC12,0
2020-02-25,nuts/ITC15,0
2020-02-25,nuts/ITC16,0
2020-02-25,nuts/ITC17,0
2020-02-25,nuts/ITC18,0
2020-02-25,nuts/ITC13,0
2020-02-25,nuts/ITC14,0
2020-02-25,nuts/ITF46,0
2020-02-25,nuts/ITF47,0
2020-02-25,nuts/ITF43,0
2020-02-25,nuts/ITF44,0
2020-02-25,nuts/ITF45,0
2020-02-25,nuts/ITF48,0
2020-02-25,nuts/ITG25,0
2020-02-25,nuts/ITG26,0
2020-02-25,nuts/ITG27,0
