"MeasurementMethods","MinDate","StatVar","observationPeriods"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_WhiteAlone","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_AsianAlone","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2010","Count_Person_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_NativeHawaiianAndOtherPacificIslanderAlone","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2010","Count_Person_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_TwoOrMoreRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_BlackOrAfricanAmericanAlone","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2010","Count_Person_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2010","Count_Person_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2010","Count_Person_AsianAloneOrInCombinationWithOneOrMoreOtherRaces","[P1Y]"
"[CensusPEPSurvey_Race2000Onwards]","2000","Count_Person_AmericanIndianAndAlaskaNativeAlone","[P1Y]"
