National Center for Education Statistics,,,,,,
"Table 10. Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among the students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2010 and 2014",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Degree or certificate sought and level of institution,,,,,Private ,
,,All institutions,Public,,Nonprofit,For-profit
,,,,,,
Bachelor’s or equivalent degree-seeking      students attending 4-year institutions      and completing bachelor’s or equivalent     degree (cohort year 2010),,,,,,
,,,,,,
Within 100 percent of normal program completion time,,40.9,35.7,,53.8,13
Within 150 percent of normal program completion time,,60,58.9,,65.9,20.3
Within 200 percent of normal program completion time,,62,61.5,,67,21.3
,,,,,,
Degree- or certificate-seeking students     attending 2-year institutions and     completing a degree or certificate     (cohort year 2014),,,,,,
,,,,,,
Within 100 percent of normal program completion time,,18.5,14.5,,26.8,41
Within 150 percent of normal program completion time,,33.1,26.7,,62.2,63.5
Within 200 percent of normal program completion time,,37.8,32.3,,63.7,64.4
,,,,,,
Degree- or certificate-seeking students     attending less-than-2-year institutions     and completing a degree or certificate     (cohort year 2014),,,,,,
,,,,,,
Within 100 percent of normal program completion time,,45.8,64.5,,58.3,42.4
Within 150 percent of normal program completion time,,69.3,73.6,,72.6,68.5
Within 200 percent of normal program completion time,,70.2,74.5,,73.1,69.5
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2018.",,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2018–19, 200 Percent Graduation Rates component (final data).",,,,,,
