observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,measurementMethod
geoId/01,2012,dcid:Amount_Investment,1587960,USDollar,,
geoId/01,2013,dcid:Amount_Investment,7018395,USDollar,,
geoId/01,2014,dcid:Amount_Investment,2471320,USDollar,,
geoId/01,2015,dcid:Amount_Investment,4095340,USDollar,,
geoId/01,2016,dcid:Amount_Investment,9226910,USDollar,,
geoId/01,2017,dcid:Amount_Investment,2130378,USDollar,,
geoId/01,2018,dcid:Amount_Investment,1974304,USDollar,,
geoId/01,2019,dcid:Amount_Investment,284500,USDollar,,
geoId/01,2020,dcid:Amount_Investment,5996739,USDollar,,
geoId/01,2021,dcid:Amount_Investment,1347486,USDollar,,
geoId/01,2022,dcid:Amount_Investment,24244719,USDollar,,
geoId/01,2023,dcid:Amount_Investment,4927240,USDollar,,
geoId/01,2024,dcid:Amount_Investment,3622744,USDollar,,
geoId/01,2013,dcid:Amount_Investment_EconomicAdjustmentAssistance,6076100,USDollar,,
geoId/01,2014,dcid:Amount_Investment_EconomicAdjustmentAssistance,1376320,USDollar,,
geoId/01,2015,dcid:Amount_Investment_EconomicAdjustmentAssistance,3087340,USDollar,,
geoId/01,2016,dcid:Amount_Investment_EconomicAdjustmentAssistance,5786817,USDollar,,
geoId/01,2020,dcid:Amount_Investment_EconomicAdjustmentAssistance,4699739,USDollar,,
geoId/01,2022,dcid:Amount_Investment_EconomicAdjustmentAssistance,21577743,USDollar,,
geoId/01,2023,dcid:Amount_Investment_EconomicAdjustmentAssistance,1229560,USDollar,,
geoId/01,2012,dcid:Amount_Investment_ProgramPlanning,945000,USDollar,,
geoId/01,2014,dcid:Amount_Investment_ProgramPlanning,1045000,USDollar,,
geoId/01,2015,dcid:Amount_Investment_ProgramPlanning,1008000,USDollar,,
geoId/01,2016,dcid:Amount_Investment_ProgramPlanning,333000,USDollar,,
geoId/01,2017,dcid:Amount_Investment_ProgramPlanning,1050000,USDollar,,
geoId/01,2018,dcid:Amount_Investment_ProgramPlanning,1050000,USDollar,,
geoId/01,2020,dcid:Amount_Investment_ProgramPlanning,1297000,USDollar,,
geoId/01,2021,dcid:Amount_Investment_ProgramPlanning,1047486,USDollar,,
geoId/01,2023,dcid:Amount_Investment_ProgramPlanning,1260000,USDollar,,
geoId/01,2024,dcid:Amount_Investment_ProgramPlanning,980000,USDollar,,
geoId/01,2013,dcid:Amount_Investment_PublicWorks,942295,USDollar,,
geoId/01,2016,dcid:Amount_Investment_PublicWorks,2607093,USDollar,,
geoId/01,2022,dcid:Amount_Investment_PublicWorks,1680500,USDollar,,
geoId/01,2023,dcid:Amount_Investment_PublicWorks,2437680,USDollar,,
