year,place,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,Acre,,,,,,3.0,35.0,131.0,512.0,44.0,,7.0,732.0
1999,Acre,,,,,,,1.0,67.0,212.0,63.0,4.0,,347.0
2000,Acre,,,11.0,1.0,1.0,1.0,1.0,136.0,261.0,18.0,,,430.0
2001,Acre,,,,,,1.0,3.0,399.0,288.0,137.0,1.0,,829.0
2002,Acre,,1.0,,,,,59.0,1268.0,4337.0,932.0,139.0,3.0,6739.0
2003,Acre,14.0,,,5.0,18.0,18.0,427.0,3163.0,5803.0,1041.0,30.0,4.0,10523.0
2004,Acre,,4.0,,9.0,21.0,12.0,95.0,1003.0,5458.0,633.0,25.0,11.0,7271.0
2005,Acre,20.0,,5.0,2.0,17.0,75.0,1136.0,7669.0,6092.0,943.0,27.0,7.0,15993.0
2006,Acre,7.0,1.0,,2.0,58.0,34.0,186.0,1507.0,3737.0,600.0,66.0,,6198.0
2007,Acre,1.0,14.0,5.0,8.0,15.0,76.0,181.0,1942.0,5446.0,823.0,38.0,,8549.0
2008,Acre,,,1.0,1.0,23.0,18.0,165.0,1621.0,2947.0,856.0,63.0,4.0,5699.0
2009,Acre,,2.0,,2.0,10.0,1.0,59.0,366.0,2067.0,952.0,50.0,2.0,3511.0
2010,Acre,1.0,,1.0,10.0,33.0,41.0,210.0,2752.0,5030.0,523.0,58.0,2.0,8661.0
2011,Acre,2.0,,,4.0,8.0,26.0,130.0,685.0,1912.0,264.0,152.0,8.0,3191.0
2012,Acre,1.0,,,3.0,15.0,12.0,132.0,1092.0,2796.0,627.0,39.0,3.0,4720.0
2013,Acre,,,,46.0,11.0,19.0,98.0,1045.0,3331.0,318.0,108.0,4.0,4980.0
2014,Acre,,,1.0,7.0,1.0,23.0,91.0,1263.0,2528.0,406.0,70.0,8.0,4398.0
2015,Acre,3.0,2.0,1.0,3.0,2.0,42.0,118.0,1624.0,2949.0,912.0,115.0,8.0,5779.0
2016,Acre,13.0,2.0,,1.0,23.0,101.0,588.0,2526.0,3863.0,515.0,46.0,6.0,7684.0
2017,Acre,,4.0,,1.0,9.0,39.0,362.0,1318.0,3100.0,1350.0,102.0,10.0,6295.0
2018,Acre,,2.0,1.0,5.0,14.0,41.0,381.0,1368.0,4379.0,407.0,26.0,2.0,6626.0
2019,Acre,1.0,1.0,2.0,6.0,33.0,60.0,272.0,3051.0,2977.0,354.0,44.0,1.0,6802.0
2020,Acre,16.0,,1.0,4.0,39.0,71.0,335.0,3578.0,3357.0,1652.0,129.0,11.0,9193.0
